"","CH-MF-1","CH-MF-9","CH-MF-11","CH-MF-2","CH-MF-8","CH-MF-15","CH-MF-6/7","CH-MF-3","CH-MF-10","CH-MF-12","CH-MF-13","CH-MF-14","CH-MF-4","CH-MF-5","IX-MF-1","IX-MF-2","IX-MF-3","IX-MF-4","TX-MF-15","TX-MF-14","TX-MF-13","TX-MF-19","TX-MF-18","TX-MF-16/17","XO-MF-1"
"CH-MF-13",5.10215252485772,2.16435341551118,1.95074391474214,4.83468045255438,3.58713363662485,1.53516670802402,4.23369979753461,4.013030421853,2.54616067063563,0.904052763836239,0,0.889448707567603,4.66245941815346,4.59652700343299,3.10444372822554,2.59300558847244,3.79368147673224,2.81482637259496,6.55985433669619,4.85654223367653,5.42090791243231,6.81715768335863,6.37241157428571,6.82734723951186,2.49849404700777
"CH-MF-14",5.39279599088127,2.53775506925301,2.2413873807657,5.12532391857793,3.96053529036669,0.645718000456417,4.60710145127644,4.30367388787655,2.91956232437747,1.27745441757807,0.889448707567603,0,4.95310288417701,4.96992865717483,3.39508719424909,1.70355688090484,2.90423276916463,1.92537766502736,5.67040562912859,3.96709352610893,4.5314592048647,6.56000682843237,6.65847077607553,6.20353511084939,1.60904533944017
"CH-MF-4",1.0795049497878,2.89376970568332,2.71171550341132,0.812032877484461,1.47098948456965,4.3073848837206,2.11755564547941,0.649428996300461,2.51196245055887,3.75840665431722,4.66245941815346,4.95310288417701,0,0.461596117761508,1.55801568992792,3.44550998340182,5.07317385416511,4.09431875002783,2.6468109699448,3.65807540775912,4.22244108651489,2.79451010828871,2.3497639992158,2.80469966444194,4.18227140970851
"CH-MF-5",1.22248196327435,2.43217358792181,3.17331162117283,0.955009890971005,1.00939336680814,4.76898100148211,1.6559595277179,1.11102511406197,2.05036633279736,3.69247423959675,4.59652700343299,4.96992865717483,0.461596117761508,0,2.01961180768943,3.90710610116333,5.53476997192661,4.55591486778934,2.78978798343134,4.11967152552063,4.47576505045967,2.93748712177526,2.49274101270234,2.94767667792848,4.64386752747002
"IX-MF-1",1.99770879663218,2.87635353406538,1.15369981348339,1.73023672432884,3.02900517449757,2.74936919379267,3.67557133540733,0.908586693627461,2.49454627894092,2.2003909643893,3.10444372822554,3.39508719424909,1.55801568992792,2.01961180768943,0,1.8874942934739,3.51515816423718,2.53630306009991,3.56501481678918,2.1000597178312,2.66442539658697,3.71271395513309,3.26796784606018,3.72290351128632,2.62425571978059
"IX-MF-2",3.88520309010608,3.47416589058725,1.75151217000527,3.61773101780274,4.13333160145202,1.05783888044842,4.77989776236178,2.79608098710136,3.0923586354628,2.79820332091118,2.59300558847244,1.70355688090484,3.44550998340182,3.90710610116333,1.8874942934739,0,1.62766387076328,0.648808766626006,3.96684874822375,2.26353664520409,2.82790232395987,4.85644994752754,4.95491389517069,4.49997822994455,0.736761426306689
"IX-MF-3",5.30371780922088,5.10182976135054,3.37917604076856,5.24539488856603,5.76099547221531,2.25851476870822,6.40756163312506,4.42374485786464,4.72002250622609,4.18168718674271,3.79368147673224,2.90423276916463,5.07317385416511,5.53476997192661,3.51515816423718,1.62766387076328,0,0.978855104137278,3.73641178906388,2.03309968604422,2.5974653648,4.62601298836767,4.72447693601082,4.26954127078468,1.29518742972446
"IX-MF-4",4.53401185673209,4.12297465721326,2.40032093663128,4.26653978442875,4.78214036807803,1.27965966457094,5.42870652898778,3.44488975372737,3.74116740208881,3.20283208260543,2.81482637259496,1.92537766502736,4.09431875002783,4.55591486778934,2.53630306009991,0.648808766626006,0.978855104137278,0,4.61565751484976,2.9123454118301,3.47671109058587,5.50525871415354,5.6037226617967,5.14878699657056,0.316332325587186
"TX-MF-15",1.56730602015699,5.22196157135315,4.71871463027257,1.83477809246034,3.79918135023948,5.02468762867217,4.44574751114924,2.65642812316172,4.8401543162287,5.76540578117848,6.55985433669619,5.67040562912859,2.6468109699448,2.78978798343134,3.56501481678918,3.96684874822375,3.73641178906388,4.61565751484976,0,1.70331210301966,1.68597706702833,0.889601199303783,0.988065146946942,0.533129481720797,4.70361017453044
"TX-MF-14",3.27061812317665,4.97641325189657,3.25375953131459,3.53809019547999,5.12906489232877,3.32137552565251,5.77563105323853,3.00864641145866,4.59460599677212,4.3004506822205,4.85654223367653,3.96709352610893,3.65807540775912,4.11967152552063,2.1000597178312,2.26353664520409,2.03309968604422,2.9123454118301,1.70331210301966,0,0.564365678755772,2.59291330232344,2.6913772499666,2.23644158474046,3.00029807151078
"TX-MF-13",3.25328308718532,5.54077893065235,3.81812521007037,3.52075515948866,5.48515841726781,3.88574120440829,6.13172457817756,3.57301209021443,5.15897167552789,4.86481636097627,5.42090791243231,4.5314592048647,4.22244108651489,4.47576505045967,2.66442539658697,2.82790232395987,2.5974653648,3.47671109058587,1.68597706702833,0.564365678755772,0,2.57557826633211,2.67404221397527,2.21910654874912,3.56466375026656
"TX-MF-19",1.71500515850091,5.36966070969707,4.86641376861649,1.98247723080425,3.9468804885834,5.91428882797596,4.59344664949315,2.80412726150563,4.98785345457262,5.91310491952239,6.81715768335863,6.56000682843237,2.79451010828871,2.93748712177526,3.71271395513309,4.85644994752754,4.62601298836767,5.50525871415354,0.889601199303783,2.59291330232344,2.57557826633211,0,0.444746109072917,0.356471717582986,5.59321137383423
"TX-MF-18",1.27025904942799,4.92491460062415,4.42166765954357,1.53773112173134,3.50213437951048,6.01275277561911,4.14870054042024,2.35938115243272,4.5431073454997,5.46835881044947,6.37241157428571,6.65847077607553,2.3497639992158,2.49274101270234,3.26796784606018,4.95491389517069,4.72447693601083,5.6037226617967,0.988065146946942,2.6913772499666,2.67404221397527,0.444746109072917,0,0.454935665226144,5.69167532147738
"TX-MF-16/17",1.72519471465414,5.3798502658503,4.87660332476972,1.99266678695748,3.95707004473663,5.55781711039297,4.60363620564638,2.81431681765886,4.99804301072585,5.92329447567562,6.82734723951186,6.20353511084939,2.80469966444194,2.94767667792848,3.72290351128632,4.49997822994455,4.26954127078468,5.14878699657056,0.533129481720797,2.23644158474046,2.21910654874912,0.356471717582986,0.454935665226144,0,5.23673965625124
"XO-MF-1",4.62196451641277,4.14680040869318,2.48827359631196,4.35449244410943,4.87009302775871,0.963327338983753,5.51665918866847,3.53284241340805,3.82912006176949,2.88649975701824,2.49849404700777,1.60904533944017,4.18227140970851,4.64386752747002,2.62425571978059,0.736761426306689,1.29518742972446,0.316332325587186,4.70361017453044,3.00029807151078,3.56466375026656,5.59321137383423,5.69167532147738,5.23673965625124,0
