"","CH-ET_LTAzI-2","CH-ET_LTAzI-11","CH-ET_LTAzI-6","CH-ET_LTAzI-3","CH-ET_LTAzI-7/8/9/17/19/20","CH-ET_LTAzI-1","CH-ET_LTAzI-12","CH-ET_LTAzI-4","CH-ET_LTAzI-13","CH-ET_LTAzI-10","CH-ET_LTAzI-14","CH-ET_LTAzI-15","CH-ET_LTAzI-16","CH-ET_LTAzI-18","CH-ET_LTAzI-5","CH-ET_LTAzI-22","CH-ET_LTAzI-21","IX-ET_LTAzI-12","IX-ET_LTAzI-1","IX-ET_LTAzI-3","IX-ET_LTAzI-11","IX-ET_LTAzI-5","IX-ET_LTAzI-7","IX-ET_LTAzI-8","IX-ET_LTAzI-9","IX-ET_LTAzI-10","IX-ET_LTAzI-4","IX-ET_LTAzI-6","TX-ET_LTAzI-1","TX-ET_LTAzI-4","TX-ET_LTAzI-3","TX-ET_LTAzI-2","IX-ET_LTAzI-2/5/6TX-ET_LTAzI-2/5/6","XO-ET_LTAzI-2","XO-ET_LTAzI-1"
"CH-ET_LTAzI-5",3.72570926822309,3.1384629535752,4.87816266025998,2.98297846335448,4.51670234476424,5.61932199998051,2.51509255630166,1.38106682179402,5.20028713341237,4.81689728723778,0.39819526077031,0.326377021470342,0.10279199842036,4.10434288199165,0,6.52934779537725,6.24240004720266,6.43379642270943,6.90099545333862,7.76732825425433,7.07501211106666,8.35859204616272,8.62512133038452,8.7680183352016,8.37085615055004,9.85849245752194,7.17355046928259,8.44527151969475,7.19756466318141,8.23443500806335,9.01790557571609,8.4888033364678,7.86387590494167,8.07002901926626,7.53406318016521
"CH-ET_LTAzI-22",4.67515304815392,4.63762563634913,2.37410576610875,4.4821411461284,2.01264545061301,1.70549201939333,4.01425523907559,5.14828097358323,3.25194159709366,3.63533144326825,6.13115253460694,6.2029707739069,6.42655579695689,2.42500491338559,6.52934779537725,0,0.286947748174586,4.40314092206202,2.98716547275145,3.52539537499492,2.18009334260184,3.26659656126605,3.53312584548785,3.67602285030493,2.19963721594132,3.68727352291323,2.08155498438592,3.27563363829873,5.16690916253399,4.32060502747618,5.01149653883418,5.13521150085594,3.95004592435449,1.54068122388902,1.00471538478797
"CH-ET_LTAzI-21",4.38820529997933,4.35067788817454,2.08715801793416,4.19519339795382,1.72569770243842,1.99243976756792,3.727307490901,4.86133322540864,3.50044936074226,3.88383920691685,5.84420478643235,5.91602302573232,6.1396080487823,2.13805716521101,6.24240004720266,0.286947748174586,0,4.69008867023661,3.27411322092604,3.8123431231695,2.46704109077643,3.55354430944064,3.82007359366243,3.96297059847952,2.48658496411591,3.97422127108781,2.3685027325605,3.56258138647332,5.45385691070858,4.60755277565076,5.29844428700876,5.42215924903053,4.23699367252908,1.82762897206361,1.29166313296256
"IX-ET_LTAzI-12",2.70808715448634,3.29533346913423,3.41358032445435,3.45081795935496,3.77504063995009,2.69764890266869,3.91870386640777,5.05272960091542,2.00028898164625,1.61689913547166,6.03560116193912,6.10741940123909,6.33100442428907,4.18740010272268,6.43379642270943,4.40314092206202,4.69008867023661,0,2.03943965516594,2.80550139232622,3.28463443609622,3.9372992735618,3.67076998934,3.95262639283517,4.5804784755796,5.64458390339286,3.38317279431215,4.02397874709383,0.763768240471972,1.85832602509797,2.6417965927507,2.05500691375836,2.22888512821965,4.99597823301115,4.4600123939101
"IX-ET_LTAzI-1",4.30270089624772,4.88994721089561,2.02283279307864,4.85378880408978,2.38429310857438,1.28167345335812,4.38590289703696,5.51992863154461,2.82812303105844,3.21151287723303,6.50280019256831,6.57461843186828,6.79820345491826,2.79665257134697,6.90099545333862,2.98716547275145,3.27411322092604,2.03943965516594,0,0.866332800915706,1.24519478093028,1.99813068215128,1.73160139792948,2.01345780142465,2.54103882041366,3.70541531198234,1.34373313914621,2.08481015568331,2.42799733935072,1.33343955472473,2.11691012237746,2.14804602810449,0.962880451603042,2.9565385778452,2.42057273874415
"IX-ET_LTAzI-3",5.16903369716342,5.75628001181131,2.88916559399435,5.72012160500549,3.25062590949009,2.14800625427382,5.25223569795267,6.38626143246031,3.69445583197415,4.07784567814874,7.36913299348402,7.44095123278399,7.66453625583397,3.66298537226268,7.76732825425433,3.52539537499492,3.8123431231695,2.80550139232622,0.866332800915706,0,1.54237874882493,1.13179788123557,0.865268597013778,1.14712500050894,2.29447377712501,2.83908251106663,1.443840390609,1.2184773547676,2.04173315185425,0.947175367228258,1.73064593488099,1.76178184060802,0.576616264106572,3.056645829308,2.52067999020695
"IX-ET_LTAzI-11",4.47671755397576,5.06396386862365,2.19684945080668,5.02780546181782,2.55830976630242,1.45569011108615,4.559919554765,5.69394528927265,3.00213968878648,3.38552953496107,6.67681685029635,6.74863508959632,6.9722201126463,2.97066922907501,7.07501211106666,2.18009334260184,2.46704109077643,3.28463443609622,1.24519478093028,1.54237874882493,0,1.28357993509606,1.55010921931785,1.69300622413494,1.29584403948338,2.78348034645528,0.0985383582159254,1.37025940862809,3.58411190067918,2.48955411605318,3.02847991266419,3.30416058943295,2.1189950129315,1.71134379691492,1.17537795781387
"IX-ET_LTAzI-5",5.76029748907182,6.3475438037197,3.48042938590274,6.31138539691387,3.84188970139848,2.73927004618221,5.84349948986106,6.9775252243687,4.28571962388254,4.66910947005713,7.96039678539241,8.03221502469238,8.25580004774236,4.25424916417107,8.35859204616272,3.26659656126605,3.55354430944064,3.9372992735618,1.99813068215128,1.13179788123557,1.28357993509606,0,0.266529284221796,0.409426289038883,1.16267589588944,2.10138379959657,1.18504157688013,0.0866794735320289,3.17353103308983,2.07897324846383,1.74489997756813,2.48405072951157,1.70841414534215,2.36267333518575,2.26188117647808
"IX-ET_LTAzI-7",6.02682677329361,6.6140730879415,3.74695867012453,6.57791468113567,4.10841898562027,3.00579933040401,6.11002877408285,7.2440545085905,4.55224890810433,4.93563875427892,8.2269260696142,8.29874430891417,8.52232933196416,4.52077844839286,8.62512133038452,3.53312584548785,3.82007359366243,3.67076998934,1.73160139792948,0.865268597013778,1.55010921931785,0.266529284221796,0,0.281856403495167,1.42920518011123,1.97381391405285,1.45157086110193,0.353208757753825,2.90700174886803,1.81244396424204,1.61733009202441,2.35648084396785,1.44188486112035,2.62920261940754,2.52841046069988
"IX-ET_LTAzI-8",6.1697237781107,6.75697009275859,3.88985567494162,6.72081168595276,4.25131599043736,3.14869633522109,6.25292577889994,7.38695151340759,4.69514591292142,5.07853575909601,8.36982307443129,8.44164131373126,8.66522633678124,4.66367545320995,8.7680183352016,3.67602285030493,3.96297059847952,3.95262639283517,2.01345780142465,1.14712500050894,1.69300622413494,0.409426289038883,0.281856403495167,0,1.50872056831114,1.69195751055769,1.59446786591902,0.432724145953728,3.1888581523632,2.0943003677372,1.33547368852924,2.07462444047269,1.72374126461552,2.70871800760745,2.67130746551696
