"","CH-CL_ET-4/5/6","CH-CL_ET-7","CH-CL_ET-2","CH-CL_ET-1","CH-CL_ET-3","CH-CL_ET-8","IX-CL_ET-2","IX-CL_ET-6","IX-CL_ET-1","IX-CL_ET-12","IX-CL_ET-4","IX-CL_ET-13","IX-CL_ET-11","IX-CL_ET-14","IX-CL_ET-8","IX-CL_ET-10","IX-CL_ET-9","IX-CL_ET-5","IX-CL_ET-7","TX-CL_ET-2","TX-CL_ET-1","IX-CL_ET-3","XO-CL_ET-1"
"IX-CL_ET-4",3.56398056357211,2.70497903782464,5.53726083251927,4.29288390750654,3.95355655460948,2.66175652404684,1.36752876579109,1.30009534928651,2.71894460907452,1.21864154196801,0,0.504435928833564,1.39698856694803,1.04869276927922,2.28702756248382,2.19792750775865,2.70833202306947,1.39760521177337,1.15049380456898,1.77969829121048,2.44859105820066,0.451962347721869,3.21262087113285
"IX-CL_ET-13",4.03729754520812,3.17829601946065,6.01057781415528,4.76620088914255,4.42687353624549,2.84389591589305,1.87196469462465,0.795659420452944,3.22338053790808,1.72307747080157,0.504435928833564,0,1.57912795879425,0.544256840445656,1.78259163365026,1.69349157892509,2.2038960942359,1.47308436050991,0.64605787573542,2.28413422004405,2.95302698703423,0.956398276555433,2.70818494229929
"IX-CL_ET-11",2.45816958641387,1.59916806066641,4.43144985536104,3.18707293034831,2.84774557745125,1.26476795709881,2.76451733273912,1.5239333226842,4.11593317602255,1.23340005535702,1.39698856694803,1.57912795879425,0,1.27253074267691,1.29926686510641,2.33125713480865,2.84166165011946,0.106043598284337,1.37433177796668,3.17668685815851,3.84557962514869,1.8489509146699,2.22486017375545
"IX-CL_ET-14",3.73070032909078,2.87169880334332,5.70398059803795,4.45960367302522,4.12027632012816,2.53729869977572,2.41622153507031,0.251402580007289,3.76763737835374,2.26733431124723,1.04869276927922,0.544256840445656,1.27253074267691,0,1.2383347932046,1.14923473847943,1.65963925379025,1.16648714439258,0.101801035289764,2.8283910604897,3.49728382747988,1.50065511700109,2.16392810185364
"IX-CL_ET-8",3.75743645152028,2.89843492577281,5.73071672046745,4.48633979545472,4.14701244255766,1.82866272783858,3.65455632827491,0.986932213197311,5.00597217155834,2.53266692046343,2.28702756248382,1.78259163365026,1.29926686510641,1.2383347932046,0,1.03199026970224,1.54239478501305,1.19322326682207,1.13653375791484,4.0667258536943,4.73561862068448,2.73898991020569,0.925593308649036
"IX-CL_ET-10",4.78942672122252,3.93042519547505,6.76270699016969,5.51833006515696,5.1790027122599,2.86065299754082,3.56545627354974,0.897832158472144,4.91687211683317,3.41656904972666,2.19792750775865,1.69349157892509,2.33125713480865,1.14923473847943,1.03199026970224,0,0.510404515310814,2.22521353652431,1.04743370318967,3.97762579896914,4.64651856595932,2.64988985548052,1.0682338092563
"IX-CL_ET-9",5.29983123653333,4.44082971078587,7.2731115054805,6.02873458046777,5.68940722757071,3.37105751285164,4.07586078886055,1.40823667378296,5.42727663214399,3.92697356503747,2.70833202306947,2.2038960942359,2.84166165011946,1.65963925379025,1.54239478501305,0.510404515310814,0,2.73561805183513,1.55783821850048,4.48803031427995,5.15692308127013,3.16029437079134,1.0416730273963
"IX-CL_ET-5",2.56421318469821,1.70521165895074,4.53749345364538,3.29311652863264,2.95378917573558,1.37081155538314,2.76513397756445,1.41788972439986,4.11654982084789,1.33944365364136,1.39760521177337,1.47308436050991,0.106043598284337,1.16648714439258,1.19322326682207,2.22521353652431,2.73561805183513,0,1.26828817968234,3.17730350298385,3.84619626997403,1.84956755949524,2.11881657547111
"IX-CL_ET-7",3.83250136438055,2.97349983863308,5.80578163332771,4.56140470831498,4.22207735541792,2.63909973506548,2.51802257036007,0.149601544717524,3.8694384136435,2.36913534653699,1.15049380456898,0.64605787573542,1.37433177796668,0.101801035289764,1.13653375791484,1.04743370318967,1.55783821850048,1.26828817968234,0,2.93019209577947,3.59908486276965,1.60245615229085,2.06212706656387
"TX-CL_ET-2",4.42621821643086,3.58075263359138,4.44110715784174,2.69751919190407,4.81579420746823,4.44145481525732,0.412169525419397,3.07979364049699,0.939246317864038,2.09441513773475,1.77969829121048,2.28413422004405,3.17668685815851,2.8283910604897,4.0667258536943,3.97762579896914,4.48803031427995,3.17730350298385,2.93019209577947,0,0.668892766990181,1.32773594348861,4.99231916234334
"TX-CL_ET-1",3.75732544944068,3.61653129459579,3.77221439085156,2.02862642491389,4.14690144047805,5.1103475822475,1.08106229240958,3.74868640748717,0.270353550873857,2.76330790472493,2.44859105820066,2.95302698703423,3.84557962514869,3.49728382747988,4.73561862068448,4.64651856595932,5.15692308127013,3.84619626997403,3.59908486276965,0.668892766990181,0,1.99662871047879,5.66121192933352
"IX-CL_ET-3",3.11201821585024,2.25301669010277,5.0852984847974,3.84092155978467,3.50159420688761,3.11371887176871,0.915566418069217,1.75205769700838,2.26698226135265,0.766679194246139,0.451962347721869,0.956398276555433,1.8489509146699,1.50065511700109,2.73898991020569,2.64988985548052,3.16029437079134,1.84956755949524,1.60245615229085,1.32773594348861,1.99662871047879,0,3.66458321885472
"XO-CL_ET-1",4.68302976016932,3.82402823442185,6.65631002911648,5.41193310410375,5.07260575120669,2.75425603648762,4.58014963692394,1.91252552184635,5.93156548020738,3.45826022911247,3.21262087113286,2.70818494229929,2.22486017375545,2.16392810185364,0.925593308649036,1.0682338092563,1.0416730273963,2.11881657547111,2.06212706656387,4.99231916234334,5.66121192933352,3.66458321885472,0
