"","CH-ET-3","CH-ET-5","CH-ET-6","CH-ET-7","CH-ET-8/9","CH-ET-27","CH-ET-10","CH-ET-24/26","CH-ET-28/29","CH-ET-12","CH-ET-13","CH-ET-14","CH-ET-15","CH-ET-2","CH-ET-1","CH-ET-21","CH-ET-20","CH-ET-18","CH-ET-23","CH-ET-4","CH-ET-11","CH-ET-19","CH-ET-25","CH-ET-32","CH-ET-16","CH-ET-17","CH-ET-31","CH-ET-30","CH-ET-22","IX-ET-2","IX-ET-3","IX-ET-8","IX-ET-1","IX-ET-17","IX-ET-5","IX-ET-7","IX-ET-18/21","IX-ET-15","IX-ET-19","IX-ET-20","IX-ET-10","IX-ET-12","IX-ET-14","IX-ET-13","IX-ET-6","IX-ET-9","IX-ET-11","TX-ET-18","TX-ET-22","TX-ET-21","TX-ET-19/20","TX-ET-17","IX-ET-4/16/23TX-ET-4/16/23","XO-ET-3","XO-ET-8","XO-ET-9","XO-ET-5","XO-ET-6","XO-ET-4","XO-ET-1","XO-ET-2"
"CH-ET-13",2.05797789075921,1.81541610302318,1.67144744493029,1.47805939614608,1.32847072965842,3.90082838470129,1.47671176391654,3.57199805318216,4.64022672197071,1.57515905263245,0,0.157908155947475,0.328466348966315,3.52269857893218,3.14916590977389,1.31133790999002,1.38315614928999,1.63521057944117,3.13415102197728,1.74955376932957,0.842599068353181,1.54267827730902,3.66675578182729,6.00140211359319,2.13762565607776,1.78881461517451,5.70759148689042,5.38577780353897,1.36146965365393,5.86652860911523,6.02499369507547,7.9838422801149,4.76606504524555,5.94682998091745,6.82935310461967,7.04028324286974,7.33816244455628,6.09323115308546,7.90784594045084,7.65518846536266,7.93704486885783,7.6310202287614,8.88167443858705,9.46314222104207,6.19927475136979,7.9833295046753,7.05574226068519,5.61177657059489,6.60250373134371,7.38597429899644,6.84042786751883,5.01469095993726,6.9097104325205,6.89918353446545,8.59641004553189,8.70128474383345,7.15819916132437,7.2664752217693,6.72457033367496,6.82578344508864,7.9012471345587
"CH-ET-14",2.21588604670668,1.97332425897066,1.82935560087776,1.63596755209355,1.48637888560589,4.05873654064877,1.63461991986401,3.72990620912964,4.79813487791818,1.73306720857992,0.157908155947475,0,0.17055819301884,3.68060673487966,3.30707406572137,1.15342975404255,1.22524799334251,1.4773024234937,3.29205917792475,1.90746192527704,1.00050722430066,1.38477012136155,3.82466393777477,6.15931026954066,1.97971750013029,1.63090645922704,5.8654996428379,5.54368595948644,1.20356149770645,6.02443676506271,6.18290185102295,8.14175043606238,4.92397320119303,6.10473813686493,6.98726126056715,7.19819139881721,7.49607060050375,6.25113930903293,8.06575409639832,7.81309662131013,8.0949530248053,7.78892838470887,9.03958259453452,9.62105037698954,6.35718290731727,8.14123766062277,7.21365041663267,5.76968472654237,6.76041188729118,7.54388245494392,6.99833602346631,5.17259911588474,7.06761858846797,7.05709169041293,8.75431820147937,8.85919289978092,7.31610731727184,7.42438337771677,6.88247848962244,6.98369160103612,8.05915529050618
"CH-ET-15",2.38644423972552,2.1438824519895,1.9999137938966,1.80652574511239,1.65693707862473,4.22929473366761,1.80517811288285,3.90046440214848,4.96869307093702,1.90362540159876,0.328466348966315,0.17055819301884,0,3.8511649278985,3.47763225874021,0.982871561023706,1.05468980032367,1.30674423047486,3.46261737094359,2.07802011829588,1.1710654173195,1.21421192834271,3.99522213079361,6.3298684625595,1.80915930711145,1.4603482662082,6.03605783585674,5.71424415250528,1.03300330468761,6.19499495808155,6.35346004404179,8.31230862908122,5.09453139421187,6.27529632988377,7.15781945358599,7.36874959183605,7.66662879352259,6.42169750205177,8.23631228941716,7.98365481432897,8.26551121782414,7.95948657772771,9.21014078755336,9.79160857000838,6.52774110033611,8.31179585364161,7.38420860965151,5.94024291956121,6.93097008031002,7.71444064796276,7.16889421648515,5.34315730890358,7.23817678148681,7.22764988343177,8.92487639449821,9.02975109279976,7.48666551029068,7.59494157073562,7.05303668264128,7.15424979405496,8.22971348352502
"CH-ET-2",1.46472068817298,1.80697969309695,1.92916783437726,2.0446391827861,2.19422784927377,1.42720522293958,2.20097073225967,1.77311419005713,2.166603560209,2.67820622450328,3.52269857893218,3.68060673487966,3.8511649278985,0,0.373532669158289,4.8340364889222,4.90585472822217,5.15790915837335,2.1938825856636,1.77314480960261,2.680099510579,5.06537685624121,1.66127782581358,4.09695706928759,5.66032423500994,5.31151319410669,3.80314644258483,3.58689394041393,4.88416823258611,3.09089536849963,3.24936045445987,5.51021911835319,1.99043180462995,3.47320681915574,4.35572994285796,4.56666008110802,4.86453928279457,3.61960799132375,5.43422277868913,5.18156530360095,5.46342170709611,5.15739706699969,6.40805127682534,6.98951905928036,3.72565158960808,5.50970634291359,4.58211909892348,2.83614332997929,3.8268704907281,4.61034105838084,4.06479462690323,2.23905771932166,4.19742959384979,4.99473849015986,6.12278688377018,6.22766158207174,5.25375411701877,5.36203017746371,4.82012528936937,4.35216028332693,5.42762397279699
"CH-ET-1",1.09118801901469,1.43344702393866,1.55563516521897,1.67110651362782,1.82069518011548,1.80073789209787,1.82743806310138,2.14664685921542,2.54013622936729,2.30467355534499,3.14916590977389,3.30707406572137,3.47763225874021,0.373532669158289,0,4.46050381976391,4.53232205906388,4.78437648921507,2.56741525482189,1.39961214044432,2.30656684142071,4.69184418708292,2.03481049497187,4.47048973844588,5.28679156585166,4.93798052494841,4.17667911174312,3.96042660957222,4.51063556342782,2.71736269934134,2.87582778530158,5.7927293839069,1.61689913547166,3.84673948831403,4.46283396806844,4.6737641063185,4.97164330800505,3.99314066048204,5.54132680389961,5.28866932881143,5.57052573230659,5.53092973615798,6.69056154237904,7.27202932483406,4.09918425876637,5.64312783918938,4.95565176808177,2.462610660821,3.45333782156981,4.23680838922255,3.69126195774494,1.86552505016337,3.8238969246915,5.36827115931815,6.49631955292847,6.60119425123003,5.62728678617706,5.735562846622,5.19365795852766,4.72569295248522,5.80115664195528
"CH-ET-21",3.36931580074923,3.1267540130132,2.98278535492031,2.7893973061361,2.63980863964844,5.21216629469131,2.78804967390656,4.88333596317218,5.95156463196073,2.88649696262247,1.31133790999002,1.15342975404255,0.982871561023706,4.8340364889222,4.46050381976391,0,0.0718182392999678,0.323872669451151,4.4454889319673,3.06089167931959,2.1539369783432,0.231340367319002,4.97809369181731,7.31274002358321,0.826287746087741,0.477476705184491,7.01892939688044,6.69711571352899,0.0501317436639077,7.17786651910525,7.33633160506549,9.29518019010492,6.07740295523557,7.25816789090747,8.14069101460969,8.35162115285975,8.6495003545463,7.40456906307548,9.21918385044086,8.96652637535268,9.24838277884784,8.94235813875142,10.1930123485771,10.7744801310321,7.51061266135981,9.29466741466532,8.36708017067521,6.92311448058491,7.91384164133373,8.69731220898647,8.15176577750885,6.32602886992729,8.22104834251052,8.21052144445548,9.90774795552191,10.0126226538235,8.46953707131439,8.57781313175932,8.03590824366498,8.13712135507866,9.21258504454872
"CH-ET-20",3.4411340400492,3.19857225231317,3.05460359422027,2.86121554543607,2.71162687894841,5.28398453399128,2.85986791320653,4.95515420247215,6.0233828712607,2.95831520192244,1.38315614928999,1.22524799334251,1.05468980032367,4.90585472822217,4.53232205906388,0.0718182392999678,0,0.252054430151183,4.51730717126726,3.13270991861956,2.22575521764317,0.159522128019034,5.04991193111728,7.38455826288317,0.754469506787773,0.405658465884523,7.09074763618041,6.76893395282895,0.0710785729199233,7.24968475840522,7.40814984436546,9.36699842940489,6.14922119453554,7.32998613020744,8.21250925390966,8.42343939215972,8.72131859384626,7.47638730237545,9.29100208974083,9.03834461465265,9.32020101814781,9.01417637805139,10.264830587877,10.8462983703321,7.58243090065978,9.36648565396529,8.43889840997518,6.99493271988488,7.9856598806337,8.76913044828643,8.22358401680882,6.39784710922725,8.29286658181048,8.28233968375544,9.97956619482188,10.0844408931234,8.54135531061435,8.64963137105929,8.10772648296495,8.20893959437863,9.28440328384869
"CH-ET-18",3.69318847020038,3.45062668246435,3.30665802437146,3.11326997558725,2.96368130909959,5.53603896414247,3.11192234335771,5.20720863262334,6.27543730141188,3.21036963207362,1.63521057944117,1.4773024234937,1.30674423047486,5.15790915837335,4.78437648921506,0.323872669451151,0.252054430151183,0,4.76936160141845,3.38476434877074,2.47780964779435,0.0925323021321487,5.30196636126847,7.63661269303436,0.50241507663659,0.15360403573334,7.3428020663316,7.02098838298014,0.323133003071106,7.5017391885564,7.66020427451664,9.61905285955608,6.40127562468672,7.58204056035863,8.46456368406085,8.67549382231091,8.97337302399745,7.72844173252663,9.54305651989201,9.29039904480383,9.572255448299,9.26623080820257,10.5168850180282,11.0983528004832,7.83448533081097,9.61854008411647,8.69095284012636,7.24698715003606,8.23771431078488,9.02118487843762,8.47563844696,6.64990153937844,8.54492101196167,8.53439411390663,10.2316206249731,10.3364953232746,8.79340974076554,8.90168580121047,8.35978091311613,8.46099402452981,9.53645771399987
"CH-ET-23",2.25373479307074,2.5299157179391,2.38594705984621,2.192559011062,2.18446849584656,0.766677362724018,2.03622746158843,0.437847031204889,1.50607569999343,1.55899196934483,3.13415102197728,3.29205917792475,3.46261737094359,2.1938825856636,2.56741525482189,4.4454889319673,4.51730717126726,4.76936160141845,0,2.46405338424549,2.29155195362409,4.6768292992863,0.532604759850019,2.86725109161591,5.27177667805504,4.92296563715179,2.57344046491315,2.25162678156169,4.4956206756312,4.88209363589338,4.72362854993314,4.84969125813763,4.18431439029355,2.81267895894018,3.6952020826424,3.90613222089246,4.204011422579,2.95908013110818,4.77369491847357,4.52103744338538,4.80289384688055,4.49686920678412,5.74752341660977,6.32899119906479,3.06512372939252,4.84917848269802,3.92159123870792,5.03002591564289,4.14611851366491,4.92958908131764,4.96072498704467,4.43294030498526,3.77555941054322,3.76503251248818,5.46225902355462,5.56713372185617,4.02404813934709,4.13232419979202,3.59041931169769,3.69163242311137,4.76709611258143
"CH-ET-4",0.308424121429639,0.127031308669422,0.156023024774645,0.27149437318349,0.421083039671152,3.2003500325422,0.427825922657054,2.90190041545038,3.93974836981161,0.905061414900662,1.74955376932957,1.90746192527704,2.07802011829588,1.77314480960261,1.39961214044432,3.06089167931959,3.13270991861956,3.38476434877074,2.46405338424549,0,0.906954700976388,3.29223204663859,2.99665814409551,5.3313044758614,3.88717942540733,3.53836838450408,5.03749384915863,4.71568016580718,3.1110234229835,4.11697483978566,4.2754399257459,7.19234152435123,3.01651127591598,5.24635162875836,5.86244610851277,6.07337624676283,6.37125544844937,5.39275280092636,6.94093894434394,6.68828146925575,6.97013787275092,6.9305418766023,8.09017368282337,8.67164146527839,5.4987963992107,7.0427399796337,6.3552639085261,3.86222280126532,4.85294996201414,5.63642052966687,5.09087409818926,3.2651371906077,5.22350906513582,6.22908589673367,7.8959316933728,8.00080639167435,6.48810152359258,6.59637758403751,6.05447269594317,6.12530509292954,7.2007687823996
"CH-ET-11",1.21537882240603,0.97281703467,0.828848376577106,0.635460327792898,0.485871661305236,3.05822931634811,0.634112695563358,2.72939898482898,3.79762765361753,0.732559984279269,0.842599068353181,1.00050722430066,1.1710654173195,2.680099510579,2.30656684142071,2.1539369783432,2.22575521764317,2.47780964779435,2.29155195362409,0.906954700976388,0,2.3852773456622,2.82415671347411,5.15880304524001,2.98022472443094,2.63141368352769,4.86499241853724,4.54317873518579,2.20406872200711,5.02392954076205,5.18239462672229,7.14124321176172,3.92346597689237,5.10423091256427,5.98675403626649,6.19768417451655,6.4955633762031,5.25063208473228,7.06524687209766,6.81258939700948,7.09444580050464,6.78842116040822,8.03907537023387,8.62054315268889,5.35667568301661,7.14073043632212,6.21314319233201,4.76917750224171,5.75990466299053,6.54337523064326,5.99782879916565,4.17209189158408,6.06711136416732,6.05658446611227,7.75381097717871,7.85868567548027,6.31560009297118,6.42387615341612,5.88197126532178,5.98318437673546,7.05864806620552
"CH-ET-19",3.60065616806823,3.3580943803322,3.21412572223931,3.0207376734551,2.87114900696744,5.44350666201032,3.01939004122556,5.11467633049119,6.18290499927973,3.11783732994147,1.54267827730902,1.38477012136155,1.21421192834271,5.0653768562412,4.69184418708292,0.231340367319002,0.159522128019034,0.0925323021321487,4.6768292992863,3.29223204663859,2.3852773456622,0,5.20943405913632,7.54408039090221,0.594947378768738,0.246136337865489,7.25026976419945,6.92845608084799,0.230600700938958,7.40920688642426,7.5676719723845,9.52652055742393,6.30874332255457,7.48950825822648,8.3720313819287,8.58296152017876,8.8808407218653,7.63590943039448,9.45052421775986,9.19786674267168,9.47972314616685,9.17369850607042,10.4243527158961,11.0058204983511,7.74195302867882,9.52600778198432,8.59842053799422,7.15445484790392,8.14518200865273,8.92865257630547,8.38310614482785,6.55736923724629,8.45238870982952,8.44186181177448,10.1390883228409,10.2439630211425,8.70087743863339,8.80915349907832,8.26724861098398,8.36846172239767,9.44392541186772
"CH-ET-25",2.78633955292076,3.06252047778912,2.91855181969622,2.72516377091202,2.71707325569658,0.234072602873999,2.56883222143845,0.145400148440592,0.973470940143412,2.09159672919484,3.66675578182729,3.82466393777477,3.99522213079361,1.66127782581358,2.03481049497187,4.97809369181732,5.04991193111728,5.30196636126847,0.532604759850019,2.99665814409551,2.82415671347411,5.20943405913632,0,2.57480420885161,5.80438143790506,5.45557039700181,2.28099358214885,1.95917989879739,5.02822543548122,4.34948887604336,4.19102379008312,4.31708649828761,3.65170963044353,2.28007419909016,3.16259732279238,3.37352746104244,3.67140666272898,2.42647537125816,4.24109015862355,3.98843268353536,4.27028908703053,3.9642644469341,5.21491865675975,5.79638643921477,2.5325189695425,4.316573722848,3.3889864788579,4.49742115579287,3.61351375381489,4.39698432146762,4.42812022719465,3.90033554513524,3.2429546506932,3.47258562972388,4.9296542637046,5.03452896200615,3.73160125658279,3.83987731702773,3.29797242893339,3.15902766326135,4.23449135273141
"CH-ET-32",5.12098588468665,5.39716680955501,5.25319815146212,5.05981010267791,5.05171958746247,2.66975184634801,4.90347855320434,2.42940406041102,1.9303535090786,4.42624306096074,6.00140211359319,6.15931026954066,6.3298684625595,4.09695706928759,4.47048973844588,7.31274002358321,7.38455826288317,7.63661269303436,2.86725109161591,5.3313044758614,5.15880304524001,7.54408039090221,2.57480420885161,0,8.13902776967095,7.7902167287677,0.293810626702764,0.61562431005422,7.36287176724712,4.4955535893645,4.33708850340427,2.76816738048381,4.66281387881785,2.50996273802909,2.7500823206374,2.96101245888746,2.84389591589305,1.26476795709881,2.86945564033397,3.12211311542215,3.20037875099793,2.2274565644999,3.27932951825942,3.86079730071444,1.37081155538314,2.7676546050442,1.8400673610541,4.75030562788484,3.75957846713603,3.97269823092157,4.57418494051579,4.91143979350956,3.38901936401434,0.897781420872269,2.82627023605783,2.93114493435938,1.15679704773118,1.26507310817611,0.723168220081775,1.61010854545755,2.13110732508464
"CH-ET-16",4.19560354683697,3.95304175910094,3.80907310100805,3.61568505222384,3.46609638573618,6.03845404077906,3.6143374199943,5.70962370925993,6.77785237804847,3.71278470871021,2.13762565607776,1.97971750013029,1.80915930711145,5.66032423500994,5.28679156585166,0.826287746087741,0.754469506787773,0.50241507663659,5.27177667805504,3.88717942540733,2.98022472443094,0.594947378768739,5.80438143790506,8.13902776967095,0,0.34881104090325,7.84521714296818,7.52340345961673,0.825548079707696,8.00415426519299,8.16261935115323,10.1214679361927,6.90369070132332,8.08445563699522,8.96697876069743,9.1779088989475,9.47578810063404,8.23085680916322,10.0454715965286,9.79281412144042,10.0746705249356,9.76864588483916,11.0193000946648,11.6007678771198,8.33690040744756,10.1209551607531,9.19336791676295,7.74940222667265,8.74012938742147,9.52359995507421,8.97805352359659,7.15231661601503,9.04733608859826,9.03680919054322,10.7340357016097,10.8389103999112,9.29582481740213,9.40410087784706,8.86219598975272,8.9634091011664,10.0388727906365
"CH-ET-17",3.84679250593372,3.60423071819769,3.4602620601048,3.26687401132059,3.11728534483293,5.68964299987581,3.26552637909105,5.36081266835668,6.42904133714522,3.36397366780696,1.78881461517451,1.63090645922704,1.4603482662082,5.31151319410669,4.93798052494841,0.477476705184491,0.405658465884523,0.15360403573334,4.92296563715179,3.53836838450408,2.63141368352769,0.246136337865489,5.45557039700181,7.7902167287677,0.34881104090325,0,7.49640610206493,7.17459241871348,0.476737038804446,7.65534322428975,7.81380831024999,9.77265689528942,6.55487966042006,7.73564459609197,8.61816771979418,8.82909785804425,9.12697705973079,7.88204576825997,9.69666055562535,9.44400308053717,9.72585948403234,9.41983484393591,10.6704890537616,11.2519568362166,7.98808936654431,9.77214411984981,8.8445568758597,7.40059118576941,8.39131834651822,9.17478891417096,8.62924248269334,6.80350557511178,8.69852504769501,8.68799814963997,10.3852246607064,10.490099359008,8.94701377649888,9.05528983694381,8.51338494884947,8.61459806026315,9.69006174973321
