"","CH-LF_TF-9","CH-LF_TF-7","CH-LF_TF-21","CH-LF_TF-1","CH-LF_TF-24","CH-LF_TF-22","CH-LF_TF-23","CH-LF_TF-4","CH-LF_TF-3","CH-LF_TF-25","CH-LF_TF-5","CH-LF_TF-2","CH-LF_TF-6","CH-LF_TF-10","CH-LF_TF-19","CH-LF_TF-17","CH-LF_TF-18","CH-LF_TF-20","CH-LF_TF-16","CH-LF_TF-12/13/14/15","CH-LF_TF-11","CH-LF_TF-8","IX-LF_TF-1","IX-LF_TF-2/3","TX-LF_TF-5","TX-LF_TF-6/7/8","TX-LF_TF-2","TX-LF_TF-1","TX-LF_TF-3/4"
"CH-LF_TF-5",1.23120847586304,0.302765540803295,0.744379673713314,1.68962498625641,1.5139939311751,2.0630771038432,2.87174876679816,0.831765557100997,1.49418423315334,4.53439700217863,0,1.54859691033046,0.100873344610573,2.29727534856226,2.76690680708872,2.89640837864034,3.03790613105191,2.62093261504074,2.67411101239817,2.38782220828894,1.74837011101603,1.05647882683252,3.90890888595107,6.52128281430533,6.1129162769913,7.7999127140954,7.01458443021946,6.52746074330599,6.67833366111314
"CH-LF_TF-2",2.2394139936758,1.85136245113375,2.29297658404377,1.57469078238487,3.06259084150556,2.63783975587949,3.44651141883445,0.716831353229458,0.385395049129406,5.10915965421493,1.54859691033046,0,1.64947025494103,3.14744796050365,3.61707941903011,3.74658099058173,3.88807874299331,3.47110522698213,3.52428362433956,3.23799482023034,2.59854272295742,1.90665143877391,4.48367153798736,7.09604546634162,6.68767892902759,8.3746753661317,7.58934708225576,7.10222339534229,7.25309631314943
"CH-LF_TF-6",1.13033513125246,0.201892196192722,0.643506329102741,1.77336121190816,1.41312058656453,1.96220375923262,2.77087542218758,0.93263890171157,1.59505757776391,4.43352365756806,0.100873344610573,1.64947025494103,0,2.19640200395168,2.66603346247814,2.79553503402977,2.93703278644134,2.52005927043016,2.57323766778759,2.28694886367837,1.64749676640546,0.955605482221944,3.80803554134049,6.42040946969475,6.01204293238072,7.69903936948483,6.91371108560889,6.42658739869542,6.57746031650256
"CH-LF_TF-10",1.10817612553579,2.03661906059553,2.47823319350555,3.60808807631097,3.24784745096734,3.79693062363543,4.60560228659039,3.12904090566325,2.76205291137425,6.26825052197087,2.29727534856226,3.14744796050365,2.19640200395168,0,0.469631458526461,1.38612459679645,1.52762234920802,0.32365726647848,1.16382723055427,1.18835733481914,0.548905237546228,1.24079652172974,5.6427624057433,8.25513633409756,7.84676979678353,9.53376623388764,8.7484379500117,8.26131426309823,8.41218718090537
"CH-LF_TF-19",1.57780758406225,2.50625051912199,2.94786465203201,4.07771953483743,3.7174789094938,4.26656208216189,5.07523374511685,3.59867236418971,3.23168436990071,6.73788198049733,2.76690680708872,3.61707941903011,2.66603346247814,0.469631458526461,0,0.916493138269985,1.05799089068156,0.14597419204798,0.694195772027814,0.980484576137042,1.01853669607269,1.7104279802562,6.11239386426976,8.72476779262402,8.31640125530999,10.0033976924141,9.21806940853816,8.73094572162469,8.88181863943183
"CH-LF_TF-17",1.70730915561387,2.63575209067361,3.07736622358363,4.20722110638905,3.84698048104542,4.39606365371352,5.20473531666847,3.72817393574134,3.36118594145233,6.86738355204895,2.89640837864034,3.74658099058173,2.79553503402977,1.38612459679645,0.916493138269985,0,0.141497752411573,1.06246733031797,0.222297366242171,0.508586170351399,1.14803826762431,1.83992955180782,6.24189543582139,8.85426936417564,8.44590282686162,10.1328992639657,9.34757098008978,8.86044729317631,9.01132021098345
"CH-LF_TF-18",1.84880690802544,2.77724984308519,3.21886397599521,4.34871885880063,3.98847823345699,4.53756140612509,5.34623306908005,3.86967168815291,3.5026836938639,7.00888130446052,3.03790613105191,3.88807874299331,2.93703278644134,1.52762234920802,1.05799089068156,0.141497752411573,0,1.20396508272954,0.363795118653744,0.650083922762972,1.28953602003588,1.98142730421939,6.38339318823296,8.99576711658722,8.58740057927319,10.2743970163773,9.48906873250136,9.00194504558788,9.15281796339503
"CH-LF_TF-20",1.43183339201427,2.36027632707401,2.80189045998403,3.93174534278945,3.57150471744582,4.12058789011391,4.92925955306887,3.45269817214173,3.08571017785273,6.59190778844935,2.62093261504074,3.47110522698213,2.52005927043016,0.32365726647848,0.14597419204798,1.06246733031797,1.20396508272954,0,0.840169964075794,1.12645876818502,0.872562504024708,1.56445378820822,5.96641967222178,8.57879360057604,8.17042706326201,9.85742350036612,9.07209521649018,8.58497152957671,8.73584444738385
"CH-LF_TF-16",1.4850117893717,2.41345472443144,2.85506885734146,3.98492374014688,3.62468311480325,4.17376628747134,4.9824379504263,3.50587656949916,3.13888857521016,6.64508618580678,2.67411101239817,3.52428362433956,2.57323766778759,1.16382723055427,0.694195772027814,0.222297366242171,0.363795118653744,0.840169964075794,0,0.286288804109228,0.925740901382139,1.61763218556565,6.01959806957921,8.63197199793347,8.22360546061944,9.91060189772355,9.12527361384761,8.63814992693414,8.78902284474128
"CH-LF_TF-12/13/14/15",1.19872298526247,2.12716592032221,2.56878005323223,3.69863493603765,3.33839431069402,3.88747748336212,4.69614914631707,3.21958776538994,2.85259977110093,6.35879738169755,2.38782220828894,3.23799482023034,2.28694886367837,1.18835733481914,0.980484576137042,0.508586170351399,0.650083922762972,1.12645876818502,0.286288804109228,0,0.639452097272911,1.33134338145642,5.73330926546999,8.34568319382424,7.93731665651022,9.62431309361432,8.83898480973838,8.35186112282491,8.50273404063205
"CH-LF_TF-11",0.559270887989561,1.4877138230493,1.92932795595932,3.05918283876474,2.69894221342111,3.24802538608921,4.05669704904416,2.58013566811703,2.21314767382802,5.71934528442464,1.74837011101603,2.59854272295742,1.64749676640546,0.548905237546228,1.01853669607269,1.14803826762431,1.28953602003588,0.872562504024708,0.925740901382139,0.639452097272911,0,0.691891284183511,5.09385716819708,7.70623109655133,7.29786455923731,8.98486099634141,8.19953271246547,7.712409025552,7.86328194335914
"CH-LF_TF-8",0.332762554901889,0.993198121210794,1.43481225412081,2.56466713692623,2.2044265115826,2.7535096842507,3.56218134720566,1.88824438393351,1.52125638964451,5.22482958258613,1.05647882683252,1.90665143877391,0.955605482221944,1.24079652172974,1.7104279802562,1.83992955180782,1.98142730421939,1.56445378820822,1.61763218556565,1.33134338145642,0.691891284183511,0,4.59934146635857,7.21171539471282,6.8033488573988,8.4903452945029,7.70501701062696,7.21789332371349,7.36876624152064
"IX-LF_TF-1",4.53458628020751,3.60614334514777,3.16452921223775,2.90898075560249,2.39491495477597,1.84583178210787,1.03716011915291,3.7668401847579,4.42925886081025,2.28309353378424,3.90890888595107,4.48367153798736,3.80803554134049,5.6427624057433,6.11239386426976,6.24189543582138,6.38339318823296,5.96641967222178,6.01959806957921,5.73330926546998,5.09385716819707,4.59934146635857,0,4.26997934591094,2.20400739104023,3.89100382814433,3.1056755442684,2.61855185735493,2.76942477516207
"IX-LF_TF-2/3",7.14696020856177,6.21851727350203,5.77690314059201,5.52135468395675,5.00728888313022,4.45820571046213,3.64953404750717,6.37921411311216,7.04163278916451,1.98688581212669,6.52128281430532,7.09604546634162,6.42040946969475,8.25513633409756,8.72476779262402,8.85426936417564,8.99576711658722,8.57879360057604,8.63197199793347,8.34568319382424,7.70623109655133,7.21171539471282,4.26997934591094,0,4.0355270980812,2.3485306609771,4.89242531106758,4.38662975856163,4.60094448220304
"TX-LF_TF-5",6.73859367124775,5.810150736188,5.36853660327798,5.11298814664272,4.5989223458162,4.0498391731481,3.24116751019314,5.97084757579813,6.63326625185048,4.48710092482447,6.1129162769913,6.68767892902759,6.01204293238072,7.84676979678353,8.31640125530999,8.44590282686162,8.58740057927319,8.17042706326201,8.22360546061945,7.93731665651022,7.29786455923731,6.8033488573988,2.20400739104023,4.0355270980812,0,1.6869964371041,0.901668153228167,0.414544466314694,0.565417384121839
"TX-LF_TF-6/7/8",8.42559010835185,7.49714717329211,7.05553304038209,6.79998458374682,6.2859187829203,5.7368356102522,4.92816394729724,7.65784401290224,8.32026268895458,4.33541647310379,7.7999127140954,8.3746753661317,7.69903936948483,9.53376623388764,10.0033976924141,10.1328992639657,10.2743970163773,9.85742350036612,9.91060189772355,9.62431309361432,8.98486099634141,8.4903452945029,3.89100382814433,2.3485306609771,1.6869964371041,0,2.54389465009048,2.03809909758453,2.25241382122594
"TX-LF_TF-2",7.64026182447591,6.71181888941617,6.27020475650615,6.01465629987089,5.50059049904436,4.95150732637627,4.14283566342131,6.8725157290263,7.53493440507864,5.38876907805264,7.01458443021946,7.58934708225576,6.91371108560889,8.7484379500117,9.21806940853816,9.34757098008978,9.48906873250136,9.07209521649018,9.12527361384761,8.83898480973838,8.19953271246547,7.70501701062696,3.1056755442684,4.89242531106758,0.901668153228167,2.54389465009048,0,0.505795552505947,0.336250769106328
"TX-LF_TF-1",7.15313813756244,6.2246952025027,5.78308106959268,5.52753261295741,5.01346681213089,4.4643836394628,3.65571197650784,6.38539204211283,7.04781071816517,4.90164539113917,6.52746074330599,7.10222339534229,6.42658739869542,8.26131426309823,8.73094572162469,8.86044729317631,9.00194504558788,8.58497152957671,8.63814992693414,8.35186112282491,7.712409025552,7.21789332371349,2.61855185735492,4.38662975856163,0.414544466314694,2.03809909758453,0.505795552505947,0,0.319500872756261
"TX-LF_TF-3/4",7.30401105536958,6.37556812030984,5.93395398739982,5.67840553076456,5.16433972993804,4.61525655726994,3.80658489431498,6.53626495991997,7.19868363597232,5.05251830894631,6.67833366111314,7.25309631314943,6.57746031650256,8.41218718090537,8.88181863943183,9.01132021098346,9.15281796339503,8.73584444738385,8.78902284474128,8.50273404063206,7.86328194335914,7.36876624152064,2.76942477516207,4.60094448220304,0.565417384121839,2.25241382122594,0.336250769106328,0.319500872756261,0
