Site,Region,Period,Number,SiteCode,SiteName,FieldSite Region,FieldSite Period,SurveyYearNumber,Supervisor,Map,North,East,Elev,ElevMed,ElevMin,ElevMax,EZcode,EnvironmentalZone,Soil,SoilMed,SoilMin,SoilMax,Erosion,ErosionMed,ErosionMin,ErosionMax,ModernUse,ModernSettlement,Rainfall,Area,MoundDomestic,MoundCeremonial,MoundQuestionable,MoundTotal,MoundRecorded,DMoundArea,Architecture,TerraceConfidence,TerraceExtent,Sherd,SherdMed,SherdMin,SherdMax,Rubble,RubbleMed,RubbleMin,RubbleMax,Population,PopMin,PopMax,PopMethod,stcode,SiteType,SubPeriod1,SubPeriod2,OccEF,OccMF,OccLF,OccTF,OccCL,OccEC,OccMC,OccLC,OccET,OccLT,OccAZ,OccEA,OccLA,OccTot,OccSeqLoc,SubOc1,SubOc2,PdDupSite,Group,Comments,NorthOld,EastOld,NorthGIS,EastGIS,Recnum,
TE-LT-313,TE,LT,313,0,,,,,,,2174.89,526,2420,0,0,0,,Middle Piedmont,Shallow,,,,Deep,,,,Grazing & Agri,,640,5,,,,,,,FALSE,,,,,,,,,,,30,0,0,AD,6,Hamlet,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,56,A,B,0,3,,2175,526,2174890,526000,3115,
TE-LT-137,TE,LT,137,0,,,,,,,2174.63,526,2435,0,0,0,,Middle Piedmont,Shallow,,,,Moderate,,,,Grazing,,630,5,,,,,,,FALSE,,,,,,,,,,,25,0,0,AD,6,Hamlet,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,57,B,C,0,3,,2175,526,2174630,526000,3040,
TE-LT-312,TE,LT,312,0,,,,,,,2174.68,525,2427,0,0,0,,Middle Piedmont,Shallow-Medium,,,,Unknown,,,,Grazing & Agri,,640,10.5,,,,,,,FALSE,,,,,,,,,,,30,0,0,AD,6,Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,57,B,C,0,3,,2175,525,2174680,525000,3114,
TE-LT-142,TE,LT,142,0,,,,,,,2173.34,526,2449,0,0,0,,Middle Piedmont,Shallow,,,,Deep,,,,Agricultural,,640,1,,,,,,,FALSE,,,,,,,,,,,10,0,0,AD,2,Small Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,58,A,B,0,3,,2173,526,2173340,526000,3041,
TE-LT-310e,TE,LT,310,0,,,,,,,2173.96,524,2390,0,0,0,,Middle Piedmont,Unknown,,,,Unknown,,,,Unknown,,630,0.1,,,,,,,FALSE,,,,,,,,,,,10,0,0,AD,2,Small Hamlet,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,58,A,B,0,3,,2174,524,2173960,524000,3111,
TE-LT-316,TE,LT,316,0,,,,,,,2173.08,525,2458,0,0,0,,Middle Piedmont,Shallow,,,,Unknown,,,,Grazing & Agri,,640,3.8,,,,,,,FALSE,,,,,,,,,,,40,0,0,AD,6,Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,58,A,B,0,3,,2173,525,2173080,525000,3118,
TE-LT-317,TE,LT,317,0,,,,,,,2173.15,525,2455,0,0,0,,Middle Piedmont,Very Shallow,,,,Deep,,,,None,,640,0.1,,,,,,,FALSE,,,,,,,,,,,10,0,0,AD,2,Small Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,58,A,B,0,3,,2173,525,2173150,525000,3119,
TE-LT-318,TE,LT,318,0,,,,,,,2173.66,525,2425,0,0,0,,Middle Piedmont,Shallow,,,,Moderate,,,,None,,640,1,,,,,,,FALSE,,,,,,,,,,,30,0,0,AD,6,Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,58,A,B,0,3,,2174,525,2173660,525000,3120,
TE-LT-319,TE,LT,319,0,,,,,,,2172.98,524,2473,0,0,0,,Middle Piedmont,Shallow,,,,Moderate,,,,Agricultural,,640,0.6,,,,,,,FALSE,,,,,,,,,,,10,0,0,AD,2,Small Hamlet,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,58,A,B,0,3,,2173,524,2172980,524000,3121,
TE-LT-315,TE,LT,315,0,,,,,,,2171.84,526,2525,0,0,0,,Upper Piedmont,Shallow,,,,Deep,,,,Grazing & Agri,,650,20.3,,,,,,,FALSE,,,,,,,,,,,40,0,0,AD,6,Hamlet,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,59,B,B,0,3,,2172,526,2171840,526000,3117,
TE-LT-39,TE,LT,39,0,,,,,,,2180.39,520,2319,0,0,0,,Lower Piedmont,Unknown,,,,Deep,,,,Agricultural,,580,,,,,,,,FALSE,,,,,,,,,,,80,0,0,AD,6,Hamlet,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,61,B,C,0,3,,2180,520,2180390,520000,2966,
TE-LT-40,TE,LT,40,0,,,,,,,2180.95,520,2352,0,0,0,,Middle Piedmont,Unknown,,,,Unknown,,,,Agricultural,,580,,,,,,,,FALSE,,,,,,,,,,,20,0,0,AD,2,Small Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,61,B,C,0,3,,2181,520,2180950,520000,2967,
TE-LT-41,TE,LT,41,0,,,,,,,2180.92,519,2348,0,0,0,,Middle Piedmont,Unknown,,,,Unknown,,,,Agricultural,,570,0.1,,,,,,,FALSE,,,,,,,,,,,10,0,0,AD,2,Small Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,61,B,C,0,3,,2181,519,2180920,519000,2968,
TE-LT-45,TE,LT,45,0,,,,,,,2181.63,522,2390,0,0,0,,Middle Piedmont,Unknown,,,,Unknown,,,,Grazing,,600,,,,,,,,FALSE,,,,,,,,,,,30,0,0,AD,6,Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,64,A,A,0,3,,2182,522,2181630,522000,2972,
TE-LT-47,TE,LT,47,0,,,,,,,2181.81,523,2385,0,0,0,,Middle Piedmont,Unknown,,,,Unknown,,,,Unknown,,600,,,,,,,,FALSE,,,,,,,,,,,,0,0,AD,6,Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,66,A,A,0,3,,2182,523,2181810,523000,2974,
TE-LT-46,TE,LT,46,0,,,,,,,2181.28,523,2368,0,0,0,,Middle Piedmont,Shallow,,,,Deep,,,,Grazing & Agri,,610,,,,,,,,FALSE,,,,,,,,,,,,0,0,AD,6,Hamlet,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,67,A,A,0,3,,2181,523,2181280,523000,2973,
TE-LT-48,TE,LT,48,0,,,,,,,2180.75,523,2347,0,0,0,,Lower Piedmont,Very Shallow,,,,Deep,,,,Unknown,,610,,,,,,,,FALSE,,,,,,,,,,,,0,0,AD,6,Hamlet,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,68,B,B,0,3,,2181,523,2180750,523000,2975,
TE-LT-53,TE,LT,53,0,,,,,,,2181.64,523,2382,0,0,0,,Middle Piedmont,Unknown,,,,Unknown,,,,Unknown,,610,,,,,,,,FALSE,,,,,,,,,,,,0,0,AD,6,Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,69,B,B,0,3,,2182,523,2181640,523000,2980,
TE-LT-54,TE,LT,54,0,,,,,,,2181.29,523,2366,0,0,0,,Middle Piedmont,Unknown,,,,Unknown,,,,Unknown,,610,,,,,,,,FALSE,,,,,,,,,,,,0,0,AD,6,Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,69,B,B,0,3,,2181,523,2181290,523000,2981,
