Site,Region,Period,Number,SiteCode,SiteName,FieldSite Region,FieldSite Period,SurveyYearNumber,Supervisor,Map,North,East,Elev,ElevMed,ElevMin,ElevMax,EZcode,EnvironmentalZone,Soil,SoilMed,SoilMin,SoilMax,Erosion,ErosionMed,ErosionMin,ErosionMax,ModernUse,ModernSettlement,Rainfall,Area,MoundDomestic,MoundCeremonial,MoundQuestionable,MoundTotal,MoundRecorded,DMoundArea,Architecture,TerraceConfidence,TerraceExtent,Sherd,SherdMed,SherdMin,SherdMax,Rubble,RubbleMed,RubbleMin,RubbleMax,Population,PopMin,PopMax,PopMethod,stcode,SiteType,SubPeriod1,SubPeriod2,OccEF,OccMF,OccLF,OccTF,OccCL,OccEC,OccMC,OccLC,OccET,OccLT,OccAZ,OccEA,OccLA,OccTot,OccSeqLoc,SubOc1,SubOc2,PdDupSite,Group,Comments,NorthOld,EastOld,NorthGIS,EastGIS,Recnum,
CH-AZ-121,CH,AZ,121,1001121,,,,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2120.13,510.18,2500,2500,0,0,17,"Upper piedmont, Rugged terrain",Medium,Medium,,,Moderate,Moderate,,,Grazing,None or Unspecified,780,0.4,0,0,0,0,0,,FALSE,,,Very light,Light,,,,,,Substantial,10,5,10,AD,2,Small hamlet or temporary camp,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,121,A,A,0,4,,2120,510,2120130,510180,26,
CH-AZ-122,CH,AZ,122,1001122,,Amecameca,Aztec,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2118.01,508.95,2760,2760,0,0,17,"Upper piedmont, Rugged terrain",Medium,Medium,,,Moderate-slight,,Slight,Moderate,Grazing and Agriculture,None or Unspecified,900,0.4,0,0,0,0,0,,FALSE,Definite,,,,,,,,,Substantial,10,5,10,AD,2,Small hamlet or temporary camp,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,122,A,A,0,4,,2118,509,2118010,508950,27,
CH-AZ-123,CH,AZ,123,1001123,,,,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2117.96,508.07,2760,2760,0,0,17,"Upper piedmont, Rugged terrain",Shallow-medium,,Shallow (1-25 cm),Medium,Moderate,Moderate,,,Grazing,None or Unspecified,925,0.4,0,0,0,0,0,,FALSE,,,Very light,Light,,,,,,Substantial,10,5,10,AD,2,Small hamlet or temporary camp,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,123,A,A,0,4,,2118,508,2117960,508070,28,
CH-AZ-124,CH,AZ,124,1001124,,Amecameca,Aztec,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2118.81,507.9,2850,2850,0,0,17,"Upper piedmont, Rugged terrain",Medium,Medium,,,Moderate,Moderate,,,None,None or Unspecified,900,0.3,0,0,0,0,0,,FALSE,,Trace,,,,,,,,Substantial,10,5,10,AD,2,Small hamlet or temporary camp,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,124,A,A,0,4,,2119,508,2118810,507900,29,
CH-AZ-125,CH,AZ,125,1001125,,,,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2119.56,508.75,2700,2700,0,0,17,"Upper piedmont, Rugged terrain",Medium,Medium,,,Moderate,Moderate,,,Grazing and Agriculture,None or Unspecified,800,0.6,0,0,0,0,0,,FALSE,,Trace,,,,,,,,Substantial,10,5,10,AD,2,Small hamlet or temporary camp,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,125,A,A,0,4,,2120,509,2119560,508750,30,
CH-AZ-126,CH,AZ,126,1001126,,Amecameca,Aztec,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2119.31,509.93,2605,0,2560,2650,17,"Upper piedmont, Rugged terrain",Medium,Medium,,,Moderate,Moderate,,,Grazing,None or Unspecified,800,6.7,2,0,0,2,2,421,FALSE,,,Very light,Light,,,,,,,70,35,70,AD,6,Large hamlet,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,126,A,A,0,4,,2119,510,2119310,509930,31,
CH-AZ-127,CH,AZ,127,1001127,,Amecameca,Aztec,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2118.81,511,2530,0,2410,2650,17,"Upper piedmont, Rugged terrain",Medium,Medium,,,Moderate,Moderate,,,Grazing and Agriculture,None or Unspecified,780,65.3,9,0,0,9,9,3509,FALSE,,,Very light,Light,,,,,,,700,350,700,AD,7,Large dispersed village,,3,0,0,0,0,0,0,,0,0,1,0,1,1,1,127,A,A,0,4,,2119,511,2118810,511000,32,
CH-AZ-128,CH,AZ,128,1001128,,Amecameca,Aztec,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2119.66,511.07,2490,0,2450,2530,14,"Lower piedmont, Rugged Terrain",Medium,Medium,,,Moderate,Moderate,,,None,None or Unspecified,775,21,7,0,0,7,7,4825,FALSE,,,Very light,Light,Heavy,Heavy,,,,,200,100,200,AD,3,Small dispersed village,,3,0,0,0,0,0,0,,0,0,0,0,1,1,0,128,A,A,0,4,,2120,511,2119660,511070,33,
CH-AZ-129,CH,AZ,129,1001129,,Amecameca,Aztec,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2119.48,510.55,2530,0,2500,2560,17,"Upper piedmont, Rugged terrain",Medium,Medium,,,Moderate,Moderate,,,Grazing and Agriculture,None or Unspecified,775,8.1,2,0,0,2,2,406,FALSE,,,Very light,Light-moderate,Heavy,Heavy,,,,,100,50,100,AD,6,Large hamlet,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,129,A,A,0,4,,2119,511,2119480,510550,34,
CH-AZ-130,CH,AZ,130,1001130,,Amecameca,Aztec,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2120.01,512.2,2385,0,2350,2420,14,"Lower piedmont, Rugged Terrain",Shallow-medium,,Shallow (1-25 cm),Medium,Moderate-slight,,Slight,Moderate,Grazing,None or Unspecified,750,19.7,3,0,0,3,3,2100,FALSE,,,Very light,Light,Heavy,Heavy,,,,,200,100,200,AD,3,Small dispersed village,,3,0,0,0,0,0,0,,0,0,0,0,1,1,0,130,A,A,0,4,,2120,512,2120010,512200,36,
CH-AZ-131,CH,AZ,131,1001131,,Amecameca,Aztec,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2119.21,512.5,2420,0,2400,2440,14,"Lower piedmont, Rugged Terrain",Medium,Medium,,,Moderate,Moderate,,,None,None or Unspecified,760,13.4,2,0,0,2,2,921,FALSE,,,Very light,Light,Moderate-heavy,Moderate-heavy,,,,,150,75,150,AD,3,Small dispersed village,,3,0,0,0,0,0,0,,0,0,0,0,1,1,0,131,A,A,0,4,,2119,512,2119210,512500,37,
CH-AZ-132,CH,AZ,132,1001132,,Amecameca,Aztec,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2117.96,512.32,2490,0,2480,2500,14,"Lower piedmont, Rugged Terrain",Shallow-medium,,Shallow (1-25 cm),Medium,Moderate,Moderate,,,Grazing and Agriculture,None or Unspecified,790,6.9,1,0,0,1,1,120,FALSE,,,Very light,Light-moderate,Moderate-heavy,Moderate-heavy,,,,,100,50,100,AD,6,Large hamlet,,3,0,0,0,0,0,0,,0,0,0,0,1,1,0,132,A,A,0,4,,2118,512,2117960,512320,38,
CH-AZ-133,CH,AZ,133,1001133,,Amecameca,Aztec,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2117.51,512.68,2450,2450,0,0,14,"Lower piedmont, Rugged Terrain",Medium,Medium,,,Moderate,Moderate,,,None,None or Unspecified,800,0.6,0,0,0,0,0,,FALSE,,,Very light,Light,,,,,,Substantial,10,5,10,AD,2,Small hamlet or temporary camp,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,133,A,A,0,4,,2118,513,2117510,512680,39,
CH-AZ-134,CH,AZ,134,1001134,,,,72-1,Mary Parsons,"Huexocl, Tlalmanalco, Ozumba Ozalid (1:25000)",2117.66,513.28,2430,2430,0,0,14,"Lower piedmont, Rugged Terrain",Medium,Medium,,,Moderate,Moderate,,,Grazing,None or Unspecified,790,1.3,0,0,0,0,0,,FALSE,,Trace,,,,,,,,Substantial,10,5,10,AD,2,Small hamlet or temporary camp,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,134,A,A,0,4,,2118,513,2117660,513280,40,
CH-AZ-135,CH,AZ,135,1001135,,,,72-1,Mary Parsons,"Huexocl, Tlalmanalco, Ozumba Ozalid (1:25000)",2117.91,513.57,2420,2420,0,0,14,"Lower piedmont, Rugged Terrain",Medium,Medium,,,Moderate,Moderate,,,Grazing,None or Unspecified,790,0.7,0,0,0,0,0,,FALSE,,Trace,,,,,,,,Substantial,10,5,10,AD,2,Small hamlet or temporary camp,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,135,A,A,0,4,,2118,514,2117910,513570,41,
CH-AZ-136,CH,AZ,136,1001136,,Amecameca,Aztec,72-1,Mary Parsons,"Huexocl, Tlalmanalco, Ozumba Ozalid (1:25000)",2118.31,513.87,2380,2380,0,0,14,"Lower piedmont, Rugged Terrain",Shallow (1-25 cm),Shallow (1-25 cm),,,Moderate,Moderate,,,Grazing and Agriculture,None or Unspecified,780,0.5,0,0,0,0,0,,FALSE,,Trace,,,,,,,,Substantial,10,5,10,AD,2,Small hamlet or temporary camp,,3,0,0,0,0,0,0,,0,0,0,0,1,1,0,136,A,A,0,4,,2118,514,2118310,513870,42,
CH-AZ-137,CH,AZ,137,1001137,,Amecameca,Aztec,72-1,Mary Parsons,"Huexocl, Tlalmanalco, Ozumba Ozalid (1:25000)",2118.23,514.2,2370,2370,0,0,14,"Lower piedmont, Rugged Terrain",Shallow (1-25 cm),Shallow (1-25 cm),,,Moderate,Moderate,,,Grazing and Agriculture,None or Unspecified,780,3.1,0,0,0,0,0,,FALSE,,Trace,,,,,,,,,30,15,30,AD,6,Large hamlet,1,3,0,0,0,0,1,1,,0,0,0,0,1,1,1,137,B,B,0,4,,2118,514,2118230,514200,43,
CH-AZ-138,CH,AZ,138,1001138,,Amecameca,Aztec,72-1,Mary Parsons,"Huexocl, Tlalmanalco, Ozumba Ozalid (1:25000)",2118.58,513.15,2390,0,2380,2400,14,"Lower piedmont, Rugged Terrain",Medium,Medium,,,Moderate,Moderate,,,Agricultural,None or Unspecified,780,4.1,0,0,0,0,0,,FALSE,,,Light,Light-moderate,,,,,,,50,25,50,AD,6,Large hamlet,,3,0,0,0,0,0,0,,0,0,0,0,1,1,0,138,A,A,0,4,,2119,513,2118580,513150,44,
CH-AZ-139,CH,AZ,139,1001139,,Amecameca,Aztec,72-1,Mary Parsons,"Huexocl, Tlalmanalco, Ozumba Ozalid (1:25000)",2119.79,513.95,2350,2350,0,0,14,"Lower piedmont, Rugged Terrain",Shallow-medium,,Shallow (1-25 cm),Medium,Moderate,Moderate,,,Agricultural,None or Unspecified,780,4.9,0,0,0,0,0,,FALSE,,Trace,,,,,,,,,50,25,50,AD,6,Large hamlet,3,3,0,0,0,0,2,1,,1,0,0,0,1,1,2,139,A,A,0,4,,2120,514,2119790,513950,45,
CH-AZ-140,CH,AZ,140,1001140,,Amecameca,Aztec,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2117.81,511,2610,0,2580,2640,17,"Upper piedmont, Rugged terrain",Medium,Medium,,,Moderate-slight,,Slight,Moderate,Grazing and Agriculture,None or Unspecified,800,11.2,2,0,0,2,2,40,FALSE,,,Very light,Light,,,,,,,100,50,100,AD,6,Large hamlet,,3,0,0,0,0,0,0,,0,0,0,0,1,1,0,140,A,A,0,4,,2118,511,2117810,511000,47,
CH-AZ-141,CH,AZ,141,1001141,,Amecameca,Aztec,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2120.56,513.03,2330,2330,0,0,14,"Lower piedmont, Rugged Terrain",Shallow-medium,,Shallow (1-25 cm),Medium,Moderate,Moderate,,,Agricultural,None or Unspecified,733,2.1,0,0,0,0,0,,FALSE,,,Very light,Light,,,,,,,30,15,30,AD,6,Large hamlet,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,141,A,A,0,4,,2121,513,2120560,513030,48,
CH-AZ-142,CH,AZ,142,1001142,,,,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2120.73,511.97,2360,2360,0,0,14,"Lower piedmont, Rugged Terrain",Medium,Medium,,,Moderate,Moderate,,,None,None or Unspecified,750,0.6,0,0,0,0,0,,FALSE,Definite,,,,,,,,,Substantial,10,5,10,AD,2,Small hamlet or temporary camp,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,142,A,A,0,4,,2121,512,2120730,511970,49,
CH-AZ-143,CH,AZ,143,1001143,,,,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2120.56,511.28,2400,2400,0,0,14,"Lower piedmont, Rugged Terrain",Medium,Medium,,,Moderate,Moderate,,,Grazing,None or Unspecified,750,0.6,0,0,0,0,0,,FALSE,,,Light,Light-moderate,,,,,,Substantial,10,5,10,AD,2,Small hamlet or temporary camp,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,143,A,A,0,4,,2121,511,2120560,511280,50,
CH-AZ-144,CH,AZ,144,1001144,,Amecameca,Aztec,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2120.58,510.7,2430,0,2410,2450,14,"Lower piedmont, Rugged Terrain",Medium,Medium,,,Moderate,Moderate,,,Grazing,None or Unspecified,750,6,2,0,0,2,2,3006,FALSE,,Trace,,,,,,,,,60,30,60,AD,6,Large hamlet,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,144,A,A,0,4,,2121,511,2120580,510700,51,
CH-AZ-145,CH,AZ,145,1001145,,Amecameca,Aztec,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2121.23,510.93,2375,0,2370,2380,14,"Lower piedmont, Rugged Terrain",Medium,Medium,,,Moderate,Moderate,,,Grazing,None or Unspecified,750,2.9,1,0,0,1,1,,FALSE,,,Very light,Light-moderate,,,,,,,30,15,30,AD,6,Large hamlet,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,145,A,A,0,4,,2121,511,2121230,510930,52,
CH-AZ-146,CH,AZ,146,1001146,,Amecameca,Early Toltec,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2121.46,510.63,2360,2360,0,0,14,"Lower piedmont, Rugged Terrain",Medium,Medium,,,Moderate,Moderate,,,Grazing,None or Unspecified,750,0.6,0,0,0,0,0,,FALSE,,Trace,,,,,,,,Substantial,10,5,10,AD,2,Small hamlet or temporary camp,,3,0,0,0,0,0,0,,0,0,0,0,1,1,0,146,A,A,0,4,,2121,511,2121460,510630,53,
CH-AZ-147,CH,AZ,147,1001147,,,,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2120.19,510.22,2450,2450,0,0,14,"Lower piedmont, Rugged Terrain",Medium,Medium,,,Moderate,Moderate,,,Grazing,None or Unspecified,766,0.3,0,0,0,0,0,,FALSE,,,Very light,Light,,,,,,Substantial,10,5,10,AD,2,Small hamlet or temporary camp,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,147,A,A,0,4,,2120,510,2120190,510220,54,
CH-AZ-148,CH,AZ,148,1001148,,Amecameca,Aztec,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2121.08,509.75,2440,0,2410,2470,14,"Lower piedmont, Rugged Terrain",Medium,Medium,,,Moderate,Moderate,,,Grazing,None or Unspecified,760,10.2,2,0,0,2,2,18,FALSE,,,Light,Light-moderate,,,,,,,100,50,100,AD,6,Large hamlet,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,148,A,A,0,4,,2121,510,2121080,509750,55,
CH-AZ-149,CH,AZ,149,1001149,,Amecameca,Aztec,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2120.73,509.32,2520,2520,0,0,17,"Upper piedmont, Rugged terrain",Medium,Medium,,,Moderate,Moderate,,,Grazing,None or Unspecified,775,0.8,1,0,0,1,1,5,TRUE,,,Very light,Light,,,,,,Substantial,10,5,10,HC,2,Small hamlet or temporary camp,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,149,A,A,0,4,,2121,509,2120730,509320,56,
CH-AZ-150,CH,AZ,150,1001150,,Chalco,Aztec,72-1,Jeffrey Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2120.79,508.95,2550,2550,0,0,17,"Upper piedmont, Rugged terrain",Shallow-medium,,Shallow (1-25 cm),Medium,Moderate,Moderate,,,Grazing,None or Unspecified,775,0.3,1,0,0,1,1,48,FALSE,,,Very light,Light,,,,,,,20,10,20,HC,2,Small hamlet or temporary camp,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,150,A,A,0,4,,2121,509,2120790,508950,58,
CH-AZ-151,CH,AZ,151,1001151,,,,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2121.69,508.82,2450,2450,0,0,14,"Lower piedmont, Rugged Terrain",Shallow-medium,,Shallow (1-25 cm),Medium,Moderate,Moderate,,,Grazing,None or Unspecified,775,6.2,0,0,0,0,0,,FALSE,,,Very light,Light,Light-moderate,,Light,Substantial,,,50,25,50,AD,6,Large hamlet,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,151,A,A,0,4,,2122,509,2121690,508820,59,
CH-AZ-152,CH,AZ,152,1001152,,Amecameca,Aztec,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2121.61,511.13,2350,0,2340,2360,14,"Lower piedmont, Rugged Terrain",Medium,Medium,,,Moderate,Moderate,,,Grazing,None or Unspecified,750,6.9,2,0,0,2,2,,FALSE,,,Light,Light-moderate,,,,,,,70,35,70,AD,6,Large hamlet,,3,0,0,0,0,0,0,,0,0,0,0,1,1,0,152,A,A,0,4,,2122,511,2121610,511130,60,
CH-AZ-153,CH,AZ,153,1001153,,,,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2121.69,511.68,2335,0,2330,2340,14,"Lower piedmont, Rugged Terrain",Medium,Medium,,,Moderate,Moderate,,,Grazing,None or Unspecified,733,3.8,0,0,0,0,0,,FALSE,,,Very light,Light,,,,,,,40,20,40,AD,6,Large hamlet,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,153,A,A,0,4,,2122,512,2121690,511680,61,
CH-AZ-154,CH,AZ,154,1001154,,Chalco,Toltec,69-1,Mary Parsons,1969 Survey Map (1:25000),2122.5,513.85,2300,2300,0,0,15,"Lower piedmont, Smooth terrain",Medium,Medium,,,Moderate,Moderate,,,Grazing and Agriculture,None or Unspecified,730,5.7,0,0,0,0,0,,FALSE,,Trace,,,,,,,,,50,25,50,AD,6,Large hamlet,,2,0,0,0,0,0,0,,0,0,1,0,0,1,1,154,A,B,0,4,,2122,514,2122500,513850,62,
CH-AZ-155,CH,AZ,155,1001155,,Chalco,Toltec,69-1,Mary Parsons,1969 Survey Map (1:25000),2122.5,513.85,2290,2290,0,0,15,"Lower piedmont, Smooth terrain",Deep (100+ cm),Deep (100+ cm),,,Slight,Slight,,,Agricultural,None or Unspecified,730,2.5,0,0,0,0,0,,FALSE,,Trace,,,,,,,,,25,15,25,AD,6,Large hamlet,,2,0,0,0,0,0,0,,0,0,1,0,0,1,1,155,A,B,0,4,,2122,514,2122500,513850,63,
CH-AZ-156,CH,AZ,156,1001156,,Chalco,Aztec,69-1,Mary Parsons,1969 Survey Map (1:25000),2122.28,514.8,2300,2300,0,0,15,"Lower piedmont, Smooth terrain",Medium-deep,,Medium,Deep (100+ cm),Moderate-slight,,Slight,Moderate,Grazing and Agriculture,None or Unspecified,750,4.7,0,3,0,3,3,,FALSE,,,Light,Light-moderate,,,,,,,60,30,60,AD,12,Questionable,,2,0,0,1,1,0,0,,0,0,0,0,0,1,2,156,B,B,0,4,,2122,515,2122280,514800,64,
CH-AZ-157,CH,AZ,157,1001157,,Chalco,Aztec,69-1,Mary Parsons,1969 Survey Map (1:25000),2122.28,514.4,2290,2290,0,0,15,"Lower piedmont, Smooth terrain",Medium-deep,,Medium,Deep (100+ cm),Moderate-slight,,Slight,Moderate,Agricultural,None or Unspecified,730,2.4,0,0,0,0,0,,FALSE,,Trace,,,,,,,,,30,15,30,AD,6,Large hamlet,,3,0,0,1,1,0,0,,0,0,0,0,1,1,2,156,B,B,0,4,,2122,514,2122280,514400,65,
CH-AZ-158,CH,AZ,158,1001158,,Chalco,Toltec,69-1,Mary Parsons,1969 Survey Map (1:25000),2122.05,514.12,2290,2290,0,0,15,"Lower piedmont, Smooth terrain",Deep (100+ cm),Deep (100+ cm),,,Slight,Slight,,,Agricultural,None or Unspecified,720,1.2,0,0,0,0,0,,FALSE,,,Light,Light-moderate,,,,,,,20,10,20,AD,2,Small hamlet or temporary camp,,3,0,0,0,0,0,0,,0,0,1,0,1,1,1,158,A,A,0,4,,2122,514,2122050,514120,66,
CH-AZ-159,CH,AZ,159,1001159,,Chalco,Toltec,69-1,Mary Parsons,1969 Survey Map (1:25000),2122.5,513.82,2290,2290,0,0,15,"Lower piedmont, Smooth terrain",Deep (100+ cm),Deep (100+ cm),,,Moderate-slight,,Slight,Moderate,Agricultural,Moderate (determination of boundaries problematic),700,2.8,0,0,0,0,0,,FALSE,,Trace,,,,,,,,,30,15,30,AD,12,Questionable,,3,0,0,0,0,0,0,,0,0,1,0,1,1,1,159,A,A,0,4,,2122,514,2122500,513820,67,
CH-AZ-160,CH,AZ,160,1001160,,Chalco,Aztec,69-1,Mary Parsons,1969 Survey Map (1:25000),2122.1,513.32,2290,2290,0,0,15,"Lower piedmont, Smooth terrain",Deep (100+ cm),Deep (100+ cm),,,Slight,Slight,,,Agricultural,None or Unspecified,700,1.5,0,0,0,0,0,,FALSE,,,Light,Light-moderate,,,,,,,30,15,30,AD,6,Large hamlet,,3,0,0,0,0,0,0,,0,0,0,0,1,1,0,160,A,A,0,4,,2122,513,2122100,513320,69,
CH-AZ-161,CH,AZ,161,1001161,,Amecameca,Aztec,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2121.86,512.93,2270,2270,0,0,14,"Lower piedmont, Rugged Terrain",Medium-deep,,Medium,Deep (100+ cm),Moderate-slight,,Slight,Moderate,Agricultural,None or Unspecified,733,7,1,1,0,1,1,744,FALSE,,Trace,,,,,,,,,70,35,70,AD,12,Questionable,,2,0,0,0,0,0,0,,0,0,1,0,0,1,1,161,A,B,0,4,,2122,513,2121860,512930,70,
CH-AZ-162,CH,AZ,162,1001162,,Amecameca,Aztec,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2122.16,511.8,2295,0,2280,2310,14,"Lower piedmont, Rugged Terrain",Medium,Medium,,,Slight,Slight,,,Grazing and Agriculture,None or Unspecified,725,17.9,7,0,0,7,7,952,FALSE,,,Light,Light-moderate,Moderate-heavy,Moderate-heavy,,,,,360,180,360,AD,3,Small dispersed village,,3,0,0,0,1,0,0,,0,0,0,0,1,1,1,162,B,B,0,4,,2122,512,2122160,511800,71,
CH-AZ-163,CH,AZ,163,1001163,,Amecameca,Middle Formative,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2122.76,511.78,2260,2260,0,0,9,"Lakeshore Plain, Freshwater, near sloping ground",Deep (100+ cm),Deep (100+ cm),,,None,None,,,Agricultural,None or Unspecified,700,0.5,0,0,0,0,0,,FALSE,,Trace,,,,,,,,Substantial,10,5,10,AD,2,Small hamlet or temporary camp,,3,0,1,0,0,0,0,,0,0,0,0,1,1,1,162,B,B,0,4,,2123,512,2122760,511780,72,
CH-AZ-164,CH,AZ,164,1001164,,Amecameca,Aztec,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2122.83,511.97,2260,2260,0,0,9,"Lakeshore Plain, Freshwater, near sloping ground",Deep (100+ cm),Deep (100+ cm),,,Slight,Slight,,,Agricultural,None or Unspecified,700,0.2,0,0,0,0,0,,FALSE,,,,,,,,,,Substantial,10,5,10,AD,2,Small hamlet or temporary camp,,1,0,1,1,1,0,0,,0,0,0,0,1,0,3,162,B,B,0,4,,2123,512,2122830,511970,73,
CH-AZ-165,CH,AZ,165,1001165,,Amecameca,Late Toltec,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2123.21,512.93,2260,2260,0,0,8,"Lakeshore Plain, Freshwater, away from sloping ground",Deep (100+ cm),Deep (100+ cm),,,Slight,Slight,,,Agricultural,None or Unspecified,700,0.8,0,0,0,0,0,,FALSE,,Trace,,,,,,,,Substantial,10,5,10,AD,2,Small hamlet or temporary camp,,2,0,0,0,0,0,0,,0,0,1,0,0,1,1,165,A,B,0,4,,2123,513,2123210,512930,74,
CH-AZ-166,CH,AZ,166,1001166,,Amecameca,Aztec,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2123.11,511.32,2260,2260,0,0,9,"Lakeshore Plain, Freshwater, near sloping ground",Deep (100+ cm),Deep (100+ cm),,,Very slight,,None,Slight,Agricultural,None or Unspecified,700,0.5,0,0,0,0,0,,FALSE,,,Light,Light-moderate,,,,,,Substantial,10,5,10,AD,2,Small hamlet or temporary camp,,1,0,0,0,0,0,0,,0,0,1,0,1,0,1,166,B,B,0,4,,2123,511,2123110,511320,75,
CH-AZ-167,CH,AZ,167,1001167,,Chalco,Classic,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2124.85,516.02,2310,2310,0,0,15,"Lower piedmont, Smooth terrain",Medium,Medium,,,Moderate,Moderate,,,Agricultural,None or Unspecified,750,1.5,0,1,0,1,1,,FALSE,,Trace,,,,,,,,,15,10,15,AD,12,Questionable,,3,0,0,0,0,1,0,,1,0,0,0,1,1,1,167,B,C,0,4,,2125,516,2124850,516020,76,
CH-AZ-168,CH,AZ,168,1001168,,,,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2124.82,514.07,2270,2270,0,0,9,"Lakeshore Plain, Freshwater, near sloping ground",Deep (100+ cm),Deep (100+ cm),,,None,None,,,Agricultural,None or Unspecified,690,2.5,0,0,0,0,0,,FALSE,,,Light,Light-moderate,,,,,,,50,25,50,AD,6,Large hamlet,,2,0,0,0,0,0,0,,0,0,0,0,0,1,0,168,A,A,0,4,,2125,514,2124820,514070,77,
CH-AZ-169,CH,AZ,169,1001169,,Chalco,Formative,69-1,Jeffrey Parsons,1969 Survey Map (1:25000),2126.93,514.22,2420,2420,0,0,13,"Lower piedmont, Isolated hill",Very shallow,,Fully eroded,Shallow (1-25 cm),Moderate-deep,,Moderate,Deep,Grazing,None or Unspecified,690,0.1,0,1,0,1,1,,FALSE,,Trace,,,,,,,Unspecified,Unspecified,0,0,0,AD,1,Isolated ceremonial site,,3,0,0,0,1,0,0,,0,0,0,0,1,1,1,169,B,B,0,4,,2127,514,2126930,514220,78,
