"","CH-ET_LTAzI-2","CH-ET_LTAzI-11","CH-ET_LTAzI-6","CH-ET_LTAzI-3","CH-ET_LTAzI-7/8/9/17/19/20","CH-ET_LTAzI-1","CH-ET_LTAzI-12","CH-ET_LTAzI-4","CH-ET_LTAzI-13","CH-ET_LTAzI-10","CH-ET_LTAzI-14","CH-ET_LTAzI-15","CH-ET_LTAzI-16","CH-ET_LTAzI-18","CH-ET_LTAzI-5","CH-ET_LTAzI-22","CH-ET_LTAzI-21","IX-ET_LTAzI-12","IX-ET_LTAzI-1","IX-ET_LTAzI-3","IX-ET_LTAzI-11","IX-ET_LTAzI-5","IX-ET_LTAzI-7","IX-ET_LTAzI-8","IX-ET_LTAzI-9","IX-ET_LTAzI-10","IX-ET_LTAzI-4","IX-ET_LTAzI-6","TX-ET_LTAzI-1","TX-ET_LTAzI-4","TX-ET_LTAzI-3","TX-ET_LTAzI-2","IX-ET_LTAzI-2/5/6TX-ET_LTAzI-2/5/6","XO-ET_LTAzI-2","XO-ET_LTAzI-1"
"CH-ET_LTAzI-14",11097.8943547356,9112.6905227502,10893.882257059,8634.24326469322,10135.3101934652,13432.6434329991,7031.81844652908,3538.33761968534,13117.2121546374,13553.3919891937,0,258.545661479884,1062.43300728305,7562.98591079702,1432.48420159634,13887.8250047087,13330.9840822479,18338.788337905,16583.435126605,19663.6247553466,16932.9934119884,21641.228499231,21655.7581510671,22661.8977553153,21004.0968519743,26235.7868412564,17272.9312435961,21652.6752467372,21065.2594106569,21316.7046422951,23302.7816910741,24140.9736257785,20024.4177399641,18787.6580506801,17123.3380530765
"CH-ET_LTAzI-15",11248.9608969615,9263.75706497604,11096.2364749775,8785.30980691906,10371.1019494073,13634.9976509177,7182.88498875492,3689.40416191118,13295.4407316291,13731.6205661854,258.545661479884,0,804.906082979937,7841.75938339612,1174.95727729323,14166.5984773078,13609.757554847,18539.3663535257,16862.2085992041,19942.3982279457,17211.7668845875,21920.0019718301,21934.5316236662,22940.6712279144,21282.8703245734,26514.5603138555,17551.7047161952,21931.4487193363,21265.8374262777,21542.3978315921,23528.4748803711,24341.5516413993,20250.1109292611,19066.4315232792,17402.1115256756
"CH-ET_LTAzI-16",11302.5303254571,9231.21162864899,11762.7543799961,8848.79401109771,11070.7238971604,14301.5155559362,7650.2305998672,3666.86981113948,13840.3039314614,14257.6558794454,1062.43300728305,804.906082979937,0,8701.48550779563,370.051194313295,15030.3980167515,14473.5570942907,19088.6083878677,17547.4271680738,20665.0060665414,18071.493008987,22779.7280962296,22669.241483205,23675.3810874533,22145.6948702488,27377.3848595309,18411.4308405947,22791.1748437358,21815.0794606197,22098.713705642,24159.1311933761,24890.7936757413,20880.2296683154,19930.2310627229,18264.936071351
"CH-ET_LTAzI-18",8100.53328516596,7373.23927301712,2577.41113081065,6908.19295570567,1484.49406598132,4862.43721635544,5721.30117248397,6443.67428820394,6841.87252296086,7868.86634283146,7562.98591079702,7841.75938339612,8701.48550779563,0,9956.33834782607,7141.98646918461,6684.51266935911,13013.4333835948,9411.64313946866,12323.7785367471,9461.02704033964,14132.940655396,14162.1835822258,15168.3737171546,13588.3427487497,18814.0097067489,9803.58964892193,14144.3874029022,15055.8281546273,14171.6977949305,16130.4999431439,17092.9822613696,12877.8809350402,11974.0933193189,10186.2072442313
"CH-ET_LTAzI-5",11214.0168647155,9142.69816790736,12053.8705184578,8760.28055035608,11365.3127912188,14592.631694398,7563.50914097319,3595.76163436852,13960.5482591253,14345.8482075756,1432.48420159634,1174.95727729323,370.051194313295,9956.33834782607,0,15440.0087584309,14883.1678359701,19387.1975480789,17846.0163282849,20963.5952267525,18481.1037506664,23189.338837909,22967.8306434162,23973.9702476644,22555.3056119282,27786.9956012103,18821.0415822741,23200.7855854152,22113.6686208309,22397.3028658531,24457.7203535873,25189.3828359524,21178.8188285266,20339.8418044023,18674.5468130304
"CH-ET_LTAzI-22",14525.6658639758,14158.0503256177,6929.42350961751,13693.0040083063,6318.29363455238,6139.771269816,12606.3209446802,13584.3979186286,11284.4895923588,12463.0873059749,13887.8250047087,14166.5984773078,15030.3980167515,7141.98646918461,15440.0087584309,0,1033.01189342851,15430.6376298291,8784.36886002529,10656.7092520137,5576.50728070718,10007.9365438705,10791.5900728035,11441.6887647122,7833.40417766284,13116.6275437429,5775.48869754804,10019.3832913767,16181.768328558,13320.7462699062,14497.0516883724,16226.5841564809,12020.4748035552,5033.86341351239,3616.97538523669
"CH-ET_LTAzI-21",14422.7462071011,14049.0161650934,6826.37333043963,13583.9698477819,6212.51172877831,6499.50409480411,12391.2975288592,13037.4955819852,11581.0622079358,12759.6599215519,13330.9840822479,13609.757554847,14473.5570942907,6684.51266935911,14883.1678359701,1033.01189342851,0,16036.6524505988,9677.39859990446,11558.1317727261,6618.28680691248,11055.2337396719,11838.8872686049,12488.9859605136,8830.0894940506,14112.9818403191,6822.43510547763,11066.6804871781,16790.059724881,14216.0660918476,15399.3736603521,17121.9039784223,12915.7946254966,5904.91391619253,4606.05551012207
"IX-ET_LTAzI-12",9428.88539663766,11207.4171494258,10703.5464357401,11409.7228121068,11996.755976248,9711.53604960727,12442.7062644215,15630.7642682683,6329.7823465441,5820.83688769797,18338.788337905,18539.3663535257,19088.6083878677,13013.4333835948,19387.1975480789,15430.6376298291,16036.6524505988,0,7341.9827585974,8719.6993266911,11757.0099913309,12583.8643554147,11796.4907937813,12363.3963521632,16056.4947303735,18454.4433901708,11995.8093286098,12892.3367766592,2749.5656656991,6446.72353669855,9185.33434346281,7387.0154463541,6723.36280726255,17188.2827845785,15406.1743801749
"IX-ET_LTAzI-1",10874.1611167117,11903.9041786486,6890.79679337074,11848.4139662257,8031.41235845074,4614.02443208922,11916.422331399,14426.1714299865,6632.75293580449,7392.12547985481,16583.435126605,16862.2085992041,17547.4271680738,9411.64313946866,17846.0163282849,8784.36886002529,9677.39859990446,7341.9827585974,0,3118.79808329654,4482.70121134901,6131.86460506666,5683.44186977592,6653.76060219442,8714.51197177609,12361.690444485,4679.31490433717,6443.91070978197,7450.31366338909,4760.18648566127,6720.42874368073,7681.47095210033,3466.36962577095,10089.9886932948,8315.28782021125
"IX-ET_LTAzI-3",13905.7362045126,14989.0491883245,9860.8467920913,14933.5589759016,10943.2237970651,7524.90003460738,15001.5673410749,17543.8866040126,9645.55623961597,10362.2468382984,19663.6247553466,19942.3982279457,20665.0060665414,12323.7785367471,20963.5952267525,10656.7092520137,11558.1317727261,8719.6993266911,3118.79808329654,0,5144.34094182223,3866.4555967518,3114.9669492496,3917.30626324228,7647.4597327181,9822.17029349156,5197.8254061924,4174.92801799621,6874.11478751962,3002.59476635855,3928.01344834047,5633.87358459373,2075.81855078366,10558.7799808911,9062.8543369072
"IX-ET_LTAzI-11",14089.5769605903,14690.4742086879,7879.06353526128,14413.3275705881,8124.81795211419,5240.48439991015,13929.0854933429,15740.2867339906,9950.42475494928,10954.9514437327,16932.9934119884,17211.7668845875,18071.493008987,9461.02704033964,18481.1037506664,5576.50728070718,6618.28680691248,11757.0099913309,4482.70121134901,5144.34094182223,0,4723.91204402587,5512.1194011195,6157.66426486758,4683.68646057102,9389.53996467588,354.738089577331,4735.35879153203,11357.8182065865,8045.04796961105,8939.17389508122,10720.475664471,6785.33873322331,5609.52787894977,3964.9576506284
