"","CH-MF-1","CH-MF-9","CH-MF-11","CH-MF-2","CH-MF-8","CH-MF-15","CH-MF-6/7","CH-MF-3","CH-MF-10","CH-MF-12","CH-MF-13","CH-MF-14","CH-MF-4","CH-MF-5","IX-MF-1","IX-MF-2","IX-MF-3","IX-MF-4","TX-MF-15","TX-MF-14","TX-MF-13","TX-MF-19","TX-MF-18","TX-MF-16/17","XO-MF-1"
"IX-MF-2",12865.0408573037,11206.0826668749,6305.44381201899,12735.4422242755,13760.2094027636,3808.21996961431,15551.0362066014,9782.67365717448,10897.8780239592,8046.83741704687,8681.52103494651,5750.30623917919,11209.8080779881,12738.3657760685,6794.97945650604,0,4667.00196789453,2335.71155985362,13368.4096130576,8148.73192273474,9804.57691089539,16319.2722208748,15424.6785026126,14712.433179006,2652.34113470408
"IX-MF-3",15241.2070513225,15820.0419789727,10919.1308582772,15417.4075062835,17936.0837204016,7878.58011915007,19453.7070013182,12565.266878875,15511.5650702174,12704.8510465732,13062.6822673869,9974.82299616748,14365.9178074088,15897.9427842731,9671.12638926264,4667.00196789453,0,3523.8783748942,13354.7605883392,7319.15886975921,8209.34205856373,16810.0900531398,16867.2414660487,15254.7859699632,4624.90735351447
"IX-MF-4",15048.0113443744,13274.7978565313,8377.35601673332,14924.5848199223,16095.2057671353,4401.37262947059,17886.0325709731,11971.8162528213,12969.2130188244,9688.78350980941,9586.45822850598,6497.41057330495,13545.0313253591,15073.5890234394,8984.12205215286,2335.71155985362,3523.8783748942,0,15078.9248892512,9654.95212768121,11033.9728808572,18499.1959795867,17604.6022613245,16892.3569377179,1138.79637211387
"TX-MF-15",5642.30167256518,14975.1667964989,12023.6211436289,6414.3952544837,13243.0241622884,15862.6655320779,13737.7484902422,6374.15508301637,13601.3787859247,15562.5058105842,17864.8563323418,16930.5334145944,8433.62657250028,9684.33218611523,8017.69946654756,13368.4096130576,13354.7605883392,15078.9248892512,0,6131.92357087077,6069.51744130197,3595.35870517218,3715.74384918693,1919.26613419487,15587.8467032657
"TX-MF-14",10102.9218201809,15519.441206582,10871.1153507328,10712.7373163275,15467.4386361129,11610.2392092588,16499.4207841063,8603.13578509956,14422.1775030534,14108.9140535211,15737.1733267847,13534.1661700734,10920.1373988884,12466.5506909703,7560.21498419232,8148.73192273474,7319.15886975921,9654.95212768121,6131.92357087077,0,2031.71644352078,9548.55704789289,9694.84776312435,8042.0549647787,10190.0606974456
"TX-MF-13",11092.2510501212,17407.6338389906,12757.632103692,11821.36097134,17093.8066526362,13408.4867402324,18125.7888006296,10229.5038016229,16316.9901309238,15924.4046031998,17542.1677374588,15336.915553949,12546.5054154118,14092.9187074936,9483.69800424451,9804.57691089539,8209.34205856373,11033.9728808572,6069.51744130197,2031.71644352078,0,9706.87711352984,10065.3328320662,8231.85862908653,11882.5060466126
"TX-MF-19",6306.87060070024,16785.5750008403,14529.5750457748,7138.39040410162,14520.4110415205,18587.6153154023,14808.1249206322,8188.69331727255,15411.7869902661,17995.6886705593,20371.9051856762,19566.2802662797,9787.54296924769,10901.8855004693,10528.9732855029,16319.2722208748,16810.0900531398,18499.1959795867,3595.35870517218,9548.55704789289,9706.87711352984,0,1601.0859926625,1283.29818329875,17672.3915061852
"TX-MF-18",4572.93257794078,15175.9323306096,13177.0853350614,5405.08089392998,12839.4855338014,17552.550663738,13111.908833455,6776.48855935196,13802.1443200355,16640.5854690045,19018.4834585267,18439.2401462808,8163.91793146913,9205.66941329204,9390.33237131277,15424.6785026126,16867.2414660487,17604.6022613245,3715.74384918693,9694.84776312435,10065.3328320662,1601.0859926625,0,1637.76839481412,16818.1846632602
"TX-MF-16/17",5525.1090928204,15716.2826331753,13094.1622535449,6337.38950281987,13518.7343387229,17147.5408585897,13881.4770771325,7113.77432349231,14342.4946226011,16560.7325281257,18936.5555266851,18126.2058094672,8741.4114090427,9913.23734682299,9092.64996646908,14712.433179006,15254.7859699632,16892.3569377179,1919.26613419487,8042.0549647787,8231.85862908653,1283.29818329875,1637.76839481412,0,16499.5978467195
"XO-MF-1",15517.1993421402,12821.2564356619,8123.91929678136,15347.6403093158,15994.8496240496,3467.97842034151,17871.3116067347,12429.5236928972,12565.1988816634,8939.61878212191,8563.40793286679,5453.16679784329,13532.0030671969,15060.5607652773,9446.57486210237,2652.34113470408,4624.90735351447,1138.79637211387,15587.8467032657,10190.0606974456,11882.5060466126,17672.3915061852,16818.1846632602,16499.5978467195,0
