"","CH-LF-16","CH-LF-14","CH-LF-46","CH-LF-48","CH-LF-50","CH-LF-49","CH-LF-52","CH-LF-51","CH-LF-6","CH-LF-9","CH-LF-54","CH-LF-53","CH-LF-12","CH-LF-5","CH-LF-36","CH-LF-13","CH-LF-26","CH-LF-30","CH-LF-34","CH-LF-35","CH-LF-3","CH-LF-7","CH-LF-8","CH-LF-10","CH-LF-11","CH-LF-17","CH-LF-18","CH-LF-21","CH-LF-22","CH-LF-25","CH-LF-27","CH-LF-28","CH-LF-31","CH-LF-33","CH-LF-37","CH-LF-39","CH-LF-40","CH-LF-41","CH-LF-42","CH-LF-1","CH-LF-45","CH-LF-47","CH-LF-55","CH-LF-38","CH-LF-43","CH-LF-44","CH-LF-29","CH-LF-32","CH-LF-2","CH-LF-20","CH-LF-24","CH-LF-19","CH-LF-23","CH-LF-4","CH-LF-15","IX-LF-11","IX-LF-2","IX-LF-4","IX-LF-10","IX-LF-13","IX-LF-3","IX-LF-5","IX-LF-12","IX-LF-1","IX-LF-9","IX-LF-7/8","IX-LF-6","TX-LF-25","TX-LF-26/27/28/29","TX-LF-21","TX-LF-23","TX-LF-19","TX-LF-24","TX-LF-20","TX-LF-22","XO-LF-3","XO-LF-1","XO-LF-2"
"CH-LF-10",7546.10492188208,6992.12264854817,8490.29917891487,7392.72950720996,11118.877383832,10842.0224698913,12857.4306040093,12507.2193724441,4252.02703178202,2002.79606768227,18168.0061512534,18044.7161097687,6087.96980407145,2327.86280714115,4336.83259039643,6209.57827374626,10445.0321820767,9794.68267235889,7693.94465081758,8250.60806406745,8529.06271336844,3374.63803192515,3285.3907606131,0,751.900232371898,7129.17401239646,6991.75034930752,5689.95279487732,10499.3079005416,10150.5225415259,11243.5196421932,10720.9448064106,10609.9014494011,8194.74513655188,11485.2935793705,11065.3232851133,10847.1490365458,10717.0168899313,11395.2539243136,10208.7855600277,11726.15215936,7127.44969559929,13605.4029600922,11283.3522785959,11477.2680538571,11848.390266133,10265.7583268943,7553.52390635302,7945.36227292238,6643.33621631404,7998.24623271229,6683.28041330851,8603.03571625473,6528.84832941131,6508.04138476039,21913.323067045,12527.5232862271,16110.7392840426,21679.3403634755,17914.2151376443,16260.824460765,17480.0408264614,26761.5202999704,14927.3146851929,21580.9616807834,21034.324831241,19963.228890655,16349.626755458,20404.2574441555,17202.4665888427,15471.6432992199,19001.8498283442,15361.6917206267,17085.4149079798,16449.7706788139,19186.5858364977,19264.4609470298,19510.065100267
"CH-LF-11",7119.74351531279,6960.55078627921,8528.76167539727,7770.41485294253,11289.0341243852,11103.773334719,13161.0773972893,12769.066190593,4582.17524436885,2324.16311842493,18429.7570160811,18306.4669745963,6164.550232982,2840.66416121782,3801.08869047396,6212.11280796913,9983.20427563376,9258.93877243642,7158.20075089511,7714.86416414498,9114.29698372358,3646.37776004808,3471.06077450981,751.900232371898,0,6519.98200089229,6304.10704474512,4942.17590824797,9901.19032066168,9408.23123577977,10495.7427555638,9973.16791978127,9862.12456277173,7446.96824992253,10817.1031886977,10321.6762191863,10177.678195827,9967.36736255453,10647.4770376843,10427.8762056031,10978.3752727306,7243.89471225902,13384.3890064534,10613.1663685731,10729.4911672277,11100.6133795037,9517.98144026495,6805.74701972367,8172.75085656646,5895.55932968469,7250.46934608294,5935.50352667916,7855.25882962538,6794.98275325195,5908.08344262075,22070.1589061419,12684.359125324,16267.5751231396,21836.1762025724,18071.0509767412,16417.660299862,17636.8766655584,26918.3561390673,15282.1824299416,21737.7975198803,21191.1606703379,20120.0647297519,16615.7611792987,20622.3007243952,17521.4978677444,15825.2817805671,19267.9842521848,15658.0490417168,17351.5493318204,16718.8267604535,19343.4216755946,19421.2967861268,19666.900939364
"CH-LF-17",730.971643217991,4410.70723680661,5277.59107139534,8194.93870362145,7697.93702094379,8656.21350981025,11573.4076437711,10701.4174216638,6538.58117567586,6233.99135283253,15392.782685887,14820.5001510627,4685.27940012958,7310.26680024314,4191.49943542955,4256.23428578514,3249.20466491036,3350.67416507753,3707.13959040327,4134.71204213955,12165.3577124096,5592.50223123453,5153.84498894924,7129.17401239646,6519.98200089229,0,959.599128489953,2912.84908020792,3563.81420852077,3071.70650709848,4226.15205767632,4145.05323094733,4256.43242600232,4141.72813249961,9999.61002960137,8595.61282867375,8802.17167609626,7902.91019168849,7688.27545857335,12301.3945273508,6880.53478590191,5727.12163615784,8758.52059646355,9075.58426506206,7309.61715430836,7121.07488806976,3853.77605628066,2979.3442030209,10494.817206426,2132.62351048316,2072.46054676912,1652.03596040566,1675.37779642736,9630.19869110123,1001.72800110358,20564.3614076016,13226.8091446002,15500.5385739488,20330.3787040321,16981.1516723768,15915.7091345473,15785.4624752778,24615.3676477603,18089.7792104747,20242.3206515678,19695.6838020254,17872.5239074175,18917.8820440889,21985.1692881929,20141.2473370715,18517.622299293,21606.7044406264,18199.9695083123,19752.8682877951,19190.9582588544,16827.6871468241,17093.1087978096,17197.0981958682
"CH-LF-18",1687.8661185237,4937.00755143255,6055.14105997204,8648.76607070385,8565.79173169307,9433.76349838694,12350.9576323478,11478.9674102405,6764.73323491129,6201.61184799929,16260.6373966362,15688.354861812,5175.93977612049,7279.21348342565,3523.38476613367,4747.47962037446,3833.38902487755,3567.87241391104,3359.86767441953,3812.15503312188,12402.2853344282,5780.28868527872,5307.96426832957,6991.75034930752,6304.10704474512,959.599128489953,0,1966.31776187487,4188.08073960308,3363.76844162309,4522.65917304821,4226.26827565587,4264.96227399515,3450.4510900521,9166.27835612699,7892.96372688344,8074.78967401406,7209.79131265786,7231.27993523027,12341.0462261051,6440.88032344993,6060.20538706928,9394.99548573146,8369.91017729489,6853.84950634336,6677.74425762025,3862.43301217233,2300.31647320378,10534.4689051803,1311.40604230199,1767.00349062769,779.639669715496,1801.13550373083,9566.41066663133,1196.44286346,20990.4868306184,13435.4221950788,15926.6302355538,20756.504127049,17407.2770953936,16341.8007961523,16211.5878982946,25122.2263986676,18129.430909229,20668.4460745846,20121.8092250422,18376.6489088605,18957.5337428431,22024.8209869472,20180.8990358258,18557.2739980472,21646.3561393806,18239.6212070665,19792.5199865494,19230.6099576086,17334.5319859683,17599.5523266517,17703.9430350124
"CH-LF-21",3642.3798808621,6522.84868885366,7907.81072914924,10010.8921655872,10439.7011552381,11214.1911427068,14035.1371261903,13206.4865703049,7780.2764555287,6235.05021936318,18134.5468201813,17562.2642853571,6602.85562596437,7396.09587880886,1617.26839012758,6229.01647649321,5055.50461152699,4187.58224077505,2245.43259932177,2822.53800159643,13236.0644491995,6540.93109284422,6057.96306771849,5689.95279487732,4942.17590824797,2912.84908020792,1966.31776187487,0,5955.35178495236,4561.9461886696,5618.68052808381,5094.88516007384,4955.68732412869,2663.84698280934,7659.93259016928,6542.41482484094,6661.01375970386,6071.65272050223,6396.75125638847,13755.3204543555,6189.26088520044,7755.20453329989,11412.2172347077,6971.7983194758,6213.7411220415,6317.30795485124,4638.72775924871,1893.01156250994,11930.5933428304,995.475911973113,2373.85812379311,1322.49481674269,3209.70621457756,10788.10028866,3185.27686245941,23049.6297411399,14934.0893849688,17814.7208894695,22815.6470375704,19466.4200059151,18221.5824382607,18270.730808816,27184.467730465,19440.4645434619,22727.588985106,22180.9521355636,20438.8902406578,20371.8079710936,23439.0952151976,21591.1687498725,19961.6402936977,23060.6303676311,19653.8954353169,21206.7942147998,20644.884185859,19396.7733177657,19661.793658449,19766.1843668098
"CH-LF-22",3168.33639557074,6031.0490992721,6064.59714931031,10039.0134047481,7499.76397016359,9155.4687869323,12050.3349506597,11022.6815419412,9328.04810334694,9402.38765498191,14805.4225948882,14117.3305091505,6749.74314036749,10395.3046538234,7559.28160535936,6342.61001794868,1872.71610670056,3445.19429306817,6034.99718295992,6128.20134731848,14558.7808281134,8608.47206838411,8176.95772695506,10499.3079005416,9901.19032066168,3563.81420852077,4188.08073960308,5955.35178495236,0,1941.93161875468,2247.4321279163,2808.27631534259,3162.96610658419,5718.72992920079,11486.9735358033,9833.58347474954,10248.8444084222,8975.01256427949,8198.13925821595,13470.3544437629,6940.70518528748,6470.6312386429,6753.2587162153,10402.8845566822,7781.25738959991,7216.86254870024,2940.13707668909,4752.36724249121,12259.1674572855,4639.47838917423,3415.83782548425,4395.97045251706,2520.92797222198,11528.6358821124,3583.25113663805,20137.9323654612,13621.3690008599,15454.9033852297,19903.9496618918,16588.4717265063,15980.5339241393,15356.5834230941,23749.6824582598,19794.7111795783,19823.1425323791,19276.5056828367,17197.0308092642,20242.6201436209,22453.7732750592,21845.3699659646,20222.5542683966,22929.7437014231,19904.0921372053,21323.7429858629,20878.4614584368,16020.8756854506,16359.3817131994,16390.998362857
"CH-LF-25",3133.80282503603,6786.71000442611,7385.49816661375,10805.5129628565,9056.77133802419,10537.9487689528,13434.9668803994,12429.9387483883,9581.22777037973,9305.69785993101,16555.7724181506,15944.3763557019,7453.77985213563,10375.4644795522,6174.15568463782,7032.23403988192,493.130143909129,1278.54132487923,4014.901149903,4082.53721205436,15208.0043071135,8648.40295204563,8213.98753124094,10150.5225415259,9408.23123577977,3071.70650709848,3363.76844162309,4561.9461886696,1941.93161875468,0,1159.50958709159,1141.30638326827,1405.84521026201,3916.08757834,9642.44741408822,7947.86727692832,8370.49006294567,7053.296751211,6256.79567207326,14486.5871121533,5003.5607093131,7706.72903307516,8853.7648014059,8517.55336181009,5839.91380345723,5275.51896255756,1066.67538454237,3148.36383513828,13232.3519688252,3396.89566896529,2019.56168790892,3461.83878791621,1504.67310566164,12413.2258722205,3789.65206526694,21830.9979315052,15167.3427934688,17142.4966015731,21597.0152279357,18281.5372925503,17603.150146171,17049.6489891381,25626.8098052637,20767.895691118,21516.2080984231,20969.5712488807,18912.4585952487,21258.8528120114,23987.6402790639,22818.5544775043,21195.7387799362,23945.9763698135,20877.276648745,22296.9274974026,21851.6459699765,17839.3048237158,18106.8642647569,18208.7158727599
"CH-LF-27",4206.87711497032,7748.62518827406,8199.99520894036,11760.8860069586,9700.60975662643,11333.4996822423,14228.3658459697,13200.987187688,10657.3832684137,10414.4563250666,17043.2581059159,16355.1660201783,8463.2695863365,11481.8739933252,7230.61558137051,8052.31619416087,594.296910463356,1800.1994145174,4874.05591848928,4771.56663669121,16280.653430324,9727.52805424505,9293.25606773536,11243.5196421932,10495.7427555638,4226.15205767632,4522.65917304821,5618.68052808381,2247.4321279163,1159.50958709159,0,696.569459195636,1064.26932913157,4340.76976234505,9917.54513503434,8065.2063066485,8643.50180146461,7156.9303571153,6307.44141756117,15096.0545158578,4930.38238684042,8223.39385325576,8866.33721741485,8656.21474522037,5869.73450648026,5262.07413983311,1018.57959986191,3704.00667797206,13877.7524632058,4089.20801477236,2721.95312007505,4252.44581485409,2319.39838504223,13094.2089965779,4473.4876858038,22223.2706147112,15665.878347571,17540.2416344797,21989.2879111417,18673.8099757563,18032.0247448775,17441.9216723441,25865.85615363,21413.2961854986,21908.4807816291,21361.8439320867,19283.1058861902,21868.3202157158,24486.1758331662,23463.9549718849,21841.1392743168,24555.443773518,21522.6771431256,22942.3279917832,22497.0464643571,18131.5272304922,18450.711393645,18501.6499078986
"CH-LF-28",4214.87573641928,7925.72094638935,8525.67703877556,11944.5239048197,10132.1693881873,11678.1276411147,14575.1457525612,13561.4903456739,10657.9616064945,10287.0633345789,17575.424760868,16887.3326751303,8592.79079409887,11364.6649700053,6706.68537569366,8171.24498184516,1002.19571291862,1007.13732229139,4138.58916270507,3941.24179728293,16284.7381432283,9724.20496492401,9289.68046458807,10720.9448064106,9973.16791978127,4145.05323094733,4226.26827565587,5094.88516007384,2808.27631534259,1141.30638326827,696.569459195636,0,378.136832865267,3735.11551564558,9250.89371241372,7368.63684745287,7970.07108528719,6460.36089791966,5610.87195836553,15377.8499642758,4270.03542337234,8581.93026376378,9558.3889544084,7959.64528602474,5173.16504728463,4568.70776287653,368.218168982972,3125.89680860847,14096.5022941876,3649.30754680502,2312.95506611635,3849.6941970919,2191.34124358714,13247.4085132539,4610.4329411933,22699.7061812811,16042.5147776335,18013.3104393158,22465.7234777116,19150.2455423261,18477.807098083,17918.3572389139,26450.8659393823,21659.1585432404,22384.9163481989,21838.2794986565,19771.3914920264,22150.1156641338,24862.8122632287,23709.8173296267,22087.0016320587,24837.239221936,21768.5395008675,23188.190349525,22742.9088220989,18676.2913514815,18958.2248156613,19046.4140288879
"CH-LF-31",4332.24690515228,8185.12875384853,8787.51038080124,12203.9317122789,10435.1346716184,11942.2467258309,14839.2648372774,13832.6773079435,10772.5401519899,10348.4653594845,17924.2781108496,17237.271558396,8783.23272747374,11426.0669949108,6567.37230219628,8358.26056072747,1365.81292929309,761.664075898533,3856.33323479745,3638.09414846855,16399.3166887237,9837.55872448417,9398.90148219887,10609.9014494011,9862.12456277173,4256.43242600232,4264.96227399515,4955.68732412869,3162.96610658419,1405.84521026201,1064.26932913157,378.136832865267,0,3493.32493622461,8923.35559781356,7001.97131709928,7603.4055549336,6093.69536756607,5244.20642801194,15607.4123280143,3903.36989301875,8828.86429829972,9908.80147541137,7592.97975567114,4806.49951693104,4202.04223252294,293.954172698505,2972.89161596196,14186.0674929781,3568.63444139106,2253.46456075618,3783.62138593255,2231.44081139402,13321.4489776533,4689.021845088,22977.0390076053,16313.3838695689,18288.5376776732,22743.0563040359,19427.5783686504,18749.1912222711,18195.6900652382,26756.777389835,21781.0294970268,22662.2491745232,22115.6123249808,20048.9708027096,22379.6780278724,25133.6813551641,23832.4976236236,22208.872585845,25066.8015856745,21891.2197948643,23414.0881906465,22882.2085454064,18969.2724082871,19236.8318493282,19338.6834573312
