"","CH-TF_CL-8","CH-TF_CL-5","CH-TF_CL-7","CH-TF_CL-18","CH-TF_CL-17","CH-TF_CL-19","CH-TF_CL-3/4","CH-TF_CL-20","CH-TF_CL-22","CH-TF_CL-21","CH-TF_CL-1","CH-TF_CL-2","CH-TF_CL-6","CH-TF_CL-10/11","CH-TF_CL-12","CH-TF_CL-13","CH-TF_CL-16","CH-TF_CL-14","CH-TF_CL-15","CH-TF_CL-9","IX-TF_CL-3","IX-TF_CL-2","IX-TF_CL-1","TX-TF_CL-2","TX-TF_CL-1"
"CH-TF_CL-2",8573.84714074565,5663.57051757328,5430.66213152025,10515.5892784812,9101.82058693105,9940.37681721051,4356.6703338885,15394.0238802629,15846.5445892853,15831.6382356794,5140.8083621747,0,3984.26555919344,14924.3699954573,12864.4174118372,13585.9146570611,14768.2170981026,12207.880168382,11907.1345835104,11982.1548135029,22583.8948800962,9084.9669743479,17631.7260162084,10246.1751181803,12113.3633304947
"CH-TF_CL-6",4035.74710164093,1100.58487512098,1982.07775723825,6264.14473292156,5180.81861252389,7144.36684653162,1245.22370794556,11439.4554041601,12489.1253824594,11881.0403003093,5184.41036429684,3984.26555919344,0,11429.9484206963,9396.88632614379,10129.3772563275,11487.3626306618,8786.2126094458,8579.12500873185,8539.64637017986,20730.2345819651,8531.9590521953,16796.6101840471,12430.4720735597,14403.9910035231
"CH-TF_CL-10/11",8013.50084282085,10158.9320920287,11891.9568262121,9250.79296538277,11013.9952544144,13790.8574759765,10944.5303884498,12800.7647163893,15877.5967001048,13881.0167086581,15779.870755413,14924.3699954573,11429.9484206963,0,1737.31569129665,1408.20836430571,4478.71430144225,3875.70076286385,4225.5975519054,3059.63468223578,24648.3812046099,16169.7409074836,21886.1457840159,21763.797939677,23986.8163582946
"CH-TF_CL-12",6337.31705224713,8151.47505448803,9886.41078287671,7769.97933678242,9409.6595805871,12186.5218021492,8884.57780482969,11917.9625050733,14740.4537310558,12904.6161756381,13774.3247120776,12864.4174118372,9396.88632614379,1737.31569129665,0,968.62655858588,4188.07642466895,2685.88622866539,3049.52086295829,1637.63859892427,23579.9443568262,14815.5573923128,20598.2441222026,20093.678782181,22316.6972007985
"CH-TF_CL-13",7296.74880768007,8926.10110483235,10744.5930553272,8711.70418007438,10377.2203887093,13154.7505931822,9606.07505005357,12791.4374458663,15613.9286718488,13778.0911164312,14634.7749703245,13585.9146570611,10129.3772563275,1408.20836430571,968.62655858588,0,3412.79220404542,2501.97760912565,2854.30721903395,1727.1757047749,24460.5908257141,15704.2583351454,21515.251041771,20925.8405363062,23148.8589549238
"CH-TF_CL-16",9631.68359059786,10362.729829919,12924.2410176906,11657.2339095732,12926.3222971526,15766.8472551348,10791.7512415415,16044.4266994873,18727.7683858985,17012.7699415379,16602.9937731593,14768.2170981026,11487.3626306618,4478.71430144225,4188.07642466895,3412.79220404542,0,2710.57903130748,2593.90264876654,3134.19272331567,27414.0084257349,17955.0853268076,24358.8853324849,22785.4629997526,24815.4803696733
"CH-TF_CL-14",7023.78245985062,7661.57980870305,10223.0909964746,9200.23332640111,10345.3120084236,13188.5608864507,8228.04056137442,13923.0240849787,16385.8751784921,14815.1772905825,13901.8437519433,12207.880168382,8786.2126094458,3875.70076286385,2685.88622866539,2501.97760912565,2710.57903130748,0,417.851272828526,991.23947838906,25145.4218268671,15514.453742986,22013.1348132778,20257.8580191955,22287.8753891162
"CH-TF_CL-15",6967.15973442691,7454.4922079891,10016.0033957607,9221.40287806327,10288.6892829999,13131.938161027,7930.44752797581,13983.1838007499,16429.3492268441,14863.092172556,13694.7561512294,11907.1345835104,8579.12500873185,4225.5975519054,3049.52086295829,2854.30721903395,2593.90264876654,417.851272828526,0,1517.09733681306,25301.1819462236,15559.0588076062,22082.0713280743,20192.6961381663,22222.7135080869
"CH-TF_CL-9",6294.05199787265,7343.01473009761,9703.59869314327,8316.98513061422,9551.61939376005,12395.7367923022,8002.31520649536,12886.8674481859,15500.7963902485,13855.2106902365,13576.114218321,11982.1548135029,8539.64637017986,3059.63468223578,1637.63859892427,1727.1757047749,3134.19272331567,991.23947838906,1517.09733681306,0,24333.8189507516,14899.5232897121,21234.8479301488,20014.3016970616,22095.2818079545
"IX-TF_CL-3",19324.0316018264,20744.4325896676,18795.6167065924,16831.8059198147,16278.021885496,13929.8556483867,21975.1707019969,13172.6835985736,9875.75779885755,12071.0040080351,18107.1993975701,22583.8948800962,20730.2345819651,24648.3812046099,23579.9443568262,24460.5908257141,27414.0084257349,25145.4218268671,25301.1819462236,24333.8189507516,0,13341.6588001303,4888.38437071144,18352.1007182816,19756.0529319899
"IX-TF_CL-2",9435.60264085215,9036.80120392032,6774.85208220281,8357.89283020948,6537.3588408989,4112.83915504525,9679.19079196034,9867.58574089317,8279.2830480904,9505.69095165735,4567.52441962801,9084.9669743479,8531.9590521953,16169.7409074836,14815.5573923128,15704.2583351454,17955.0853268076,15514.453742986,15559.0588076062,14899.5232897121,13341.6588001303,0,8547.25415568428,7763.76204775882,10015.4450564223
"IX-TF_CL-1",15879.1472020646,16942.1940547629,14879.3494589409,13791.6050155093,12829.3879684294,10368.8380307341,18041.8071265473,11465.5023419125,8035.47236252883,10417.9315217304,13114.2834614885,17631.7260162084,16796.6101840471,21886.1457840159,20598.2441222026,21515.251041771,24358.8853324849,22013.1348132778,22082.0713280743,21234.8479301488,4888.38437071144,8547.25415568428,0,13478.9090294265,14904.2000317294
"TX-TF_CL-2",15050.2075156857,13240.7601475556,11242.603850477,15189.3229719934,13087.8876347201,11337.0844360067,13243.0241622884,17559.8656256663,16035.6823342598,17205.0070784334,7322.92652624056,10246.1751181803,12430.4720735597,21763.797939677,20093.678782181,20925.8405363062,22785.4629997526,20257.8580191955,20192.6961381663,20014.3016970616,18352.1007182816,7763.76204775882,13478.9090294265,0,2293.37310482096
"TX-TF_CL-1",17287.0269108795,15288.2689358593,13478.313433894,17426.8783832522,15325.523352339,13577.9284862736,15204.9857891657,19800.7096759332,18287.3653429233,19456.690087097,9558.46071839876,12113.3633304947,14403.9910035231,23986.8163582946,22316.6972007985,23148.8589549238,24815.4803696733,22287.8753891162,22222.7135080869,22095.2818079545,19756.0529319899,10015.4450564223,14904.2000317294,2293.37310482096,0
