"","CH-ET-3","CH-ET-5","CH-ET-6","CH-ET-7","CH-ET-8/9","CH-ET-27","CH-ET-10","CH-ET-24/26","CH-ET-28/29","CH-ET-12","CH-ET-13","CH-ET-14","CH-ET-15","CH-ET-2","CH-ET-1","CH-ET-21","CH-ET-20","CH-ET-18","CH-ET-23","CH-ET-4","CH-ET-11","CH-ET-19","CH-ET-25","CH-ET-32","CH-ET-16","CH-ET-17","CH-ET-31","CH-ET-30","CH-ET-22","IX-ET-2","IX-ET-3","IX-ET-8","IX-ET-1","IX-ET-17","IX-ET-5","IX-ET-7","IX-ET-18/21","IX-ET-15","IX-ET-19","IX-ET-20","IX-ET-10","IX-ET-12","IX-ET-14","IX-ET-13","IX-ET-6","IX-ET-9","IX-ET-11","TX-ET-18","TX-ET-22","TX-ET-21","TX-ET-19/20","TX-ET-17","IX-ET-4/16/23TX-ET-4/16/23","XO-ET-3","XO-ET-8","XO-ET-9","XO-ET-5","XO-ET-6","XO-ET-4","XO-ET-1","XO-ET-2"
"IX-ET-3",12632.2157240153,13670.8557638161,13980.7909306651,14166.6361297951,14645.7115650054,11455.1497477427,14324.4153454941,12673.9683629274,9976.44977139348,15016.4339120231,17627.5982972498,17822.5214102072,17707.8801586805,8774.97311140538,8754.56198267161,20408.3301442232,20608.9081598439,21158.150194186,14126.4873456308,13422.3512049034,16149.8873713128,21238.311248298,12231.4020521519,13493.4985645322,21241.2150977063,21317.3276867977,14313.2632376552,15338.3794050916,20652.9915723202,570.474309456861,0,9173.32992659904,4250.13583046917,5121.46139638104,4816.35770171872,5447.83353162609,6451.06468240403,8976.91777899927,8350.80363089969,7587.08233082609,8151.77654678881,12224.4897009774,12217.3161834927,14146.7773413015,9086.6310594356,8686.75984341105,10717.349872916,1539.16833829132,2079.03613056565,4861.72182583476,3930.36430781758,3349.21405027867,2581.55194627466,12966.1253573635,14601.0842457073,14968.9594323181,13877.9449211804,14213.9542815485,13043.5442324891,11034.4297638151,13195.6944558065
"IX-ET-8",17809.6476587306,18486.9797257975,18615.5215465706,18670.9765433491,19018.9846328078,12596.9345309754,18580.963687097,13246.0343084388,9975.38716599793,18523.2352097856,20721.7086964557,20807.6332163399,20602.0754336529,13557.1279089922,14329.8335800046,21832.4200765038,22111.1935491029,22970.9196735024,14537.8208483814,18077.6673829294,20420.5890649624,22821.161560701,13220.0808187898,8859.80709142821,24130.3782929168,23317.2293564867,9984.49235890019,11163.7246749874,21990.8824960117,9635.23878204024,9173.32992659904,0,13773.8415992464,6909.54270660201,4436.82394828942,3779.9105378148,2785.65826512609,4805.28608969306,951.650435207979,1635.69839557665,1605.33968578068,3552.95596751032,3232.19577049972,5325.21234264742,4476.08939178242,538.565560983087,3341.16006994696,11001.9718424985,7114.16099565715,6333.43067591275,8911.99819723261,12872.9198190559,6695.52895526846,6505.21127812533,5521.04954207517,5898.59845596077,7003.54812123264,7393.26694212136,7048.3955958482,4161.85725856552,4483.39212212671
"IX-ET-1",9428.88539663766,10544.094247997,10904.5375956497,11178.3570103019,11681.0936978264,10703.5464357401,11409.8614210983,11916.7211687895,9836.8573310613,12505.7706937358,15116.2093103403,15386.5455790261,15630.7642682683,6267.79572402727,5820.83688769797,18338.788337905,18539.3663535257,19088.6083878677,13169.8906777789,10357.1573270928,13187.4769018443,19168.7694419798,11404.9098060032,14936.2121082388,18640.806231272,19241.7113099315,15322.5706043173,16036.6524505988,18583.449766002,3690.19140020985,4250.13583046917,13773.8415992464,0,7341.9827585974,8958.1685627066,9589.64439261398,10659.5111286054,11757.0099913309,12532.1101463161,11796.4907937813,12363.3963521632,16056.4947303735,16428.0695088992,18359.6147497464,11968.1462072955,12892.3367766592,13998.1484321042,3015.02189994551,6446.72353669855,9185.33434346281,7387.0154463541,895.053292890163,6723.36280726255,15663.4994984193,18806.1699325026,19174.042617083,16595.9557551114,16859.832113326,15593.0718531178,14222.5913854583,16943.9977437767
"IX-ET-17",10874.1611167117,11573.2374319039,11798.9100366247,11855.6235719047,12249.257163015,6890.79679337074,11813.1486744588,8102.86604336804,4703.77173220829,11958.3513162415,14446.4662212438,14562.5367401291,14426.1714299865,6619.73527889935,7392.12547985481,16583.435126605,16862.2085992041,17547.4271680738,9628.4939415957,11243.2177117128,13674.2033749681,17572.1766108022,7712.93615030901,8092.66788692205,17959.5063690122,17706.6046606855,8653.66529154688,9677.39859990446,16741.8975461128,5668.67092865141,5121.46139638104,6909.54270660201,7341.9827585974,0,3177.08324532799,3903.02953285557,4890.59186341071,4482.70121134901,6077.42698273881,5683.44186977592,6653.76060219442,8714.51197177609,10120.4443843694,12211.4308483763,4644.97006467845,6443.91070978197,6656.16567350684,7196.23825532241,4760.18648566127,6720.42874368073,7681.47095210033,8167.32115054282,3466.36962577095,8507.21741938618,11697.9324216585,12018.4937594431,9427.98827072995,9761.31609819584,8501.15908851102,6880.60862686093,9602.01498517931
"IX-ET-5",13999.6763327094,14737.8699378907,14964.0557463416,15020.7692816217,15414.4028727319,9917.71875556764,14978.2943841757,11064.78324141,7645.1426640515,15123.4970259584,17621.7813724709,17737.8518913563,17601.4865812136,9711.82783064438,10469.1985098136,19720.4967188229,19999.270191422,20722.3088182751,12590.3340452004,14408.3634214298,16839.3490846851,20709.2382030201,10694.9460954229,9508.1396512445,21134.8215202394,20881.4863108868,10394.9388128273,11427.9643532855,19878.9591383307,5362.30568694821,4816.35770171872,4436.82394828942,8958.1685627066,3177.08324532799,0,759.34849770022,1829.13712436235,4963.1548335441,3580.90515133167,2882.03785451149,3744.14397001785,7412.27679867372,7485.17481738327,9454.11385843016,4965.37475491532,3941.99892325811,6121.88929226036,6857.47657002229,3212.29077613694,4002.62265781977,5838.98163944643,8459.80872087453,2300.173356157,8866.58330001238,9855.83207910153,10223.7047636819,9686.52827278057,10062.4844324639,9024.69780602152,6734.16283229245,8383.48155350279
"IX-ET-7",14727.5181240027,15463.8162254183,15690.0020338692,15746.7155691492,16140.3491602595,10581.888692343,15704.2406717033,11585.5749749057,8040.5232905847,15849.443313486,18347.7276599985,18463.7981788838,18309.2681221788,10439.6696219377,11197.0403011069,20384.7419919724,20663.5154645715,21390.7304033312,13108.5825836731,15134.3097089573,17565.2953722127,21373.4834761696,11357.1578240951,9788.75662818034,21842.6030612046,21549.9078959429,10675.835980697,11709.9240011851,20543.2044114802,5938.61193699173,5447.83353162609,3779.9105378148,9589.64439261398,3903.02953285557,759.34849770022,0,1072.36512607155,5202.43935930997,2942.76452623916,2213.65880097453,2984.79547231763,6878.72095882112,6845.96934980842,8794.61757234249,5161.87812008047,3302.79345568326,5704.52260110805,7330.6821365255,3589.22749434593,3857.46848286617,6013.05499115222,9098.3043115756,2920.91344778816,9025.10889272553,9216.62661152669,9584.49929610707,9663.35344872983,10052.8920080633,9195.13095976593,6510.50804629897,7826.27052592772
"IX-ET-18/21",15743.1851058473,16420.9852269016,16614.2756759315,16670.3510755077,17063.984666618,11270.5218570032,16627.8761780618,12274.0371949157,8727.93463016778,16750.7960644731,19079.9603568011,19166.9366008778,18999.3295965348,11488.8243436527,12246.1950228219,21073.3098397179,21352.083312317,22080.6131257071,13797.044803683,16058.9307507731,18487.5888304654,22062.0513239151,12045.7256718406,10015.2678516699,22532.6645355605,22239.7906183189,10905.064010735,11946.3654716697,21231.7722592258,6912.97353784523,6451.06468240403,2785.65826512609,10659.5111286054,4890.59186341071,1829.13712436235,1072.36512607155,0,5351.89232958034,1959.32462560436,1141.29367490297,1917.3058375121,5989.47167342311,5773.65573687383,7722.25244627094,5303.10369783567,2274.44980999199,4967.3393624902,8220.18810947101,4398.47575467528,4063.68833410268,6474.9370217863,10089.988192378,3912.59732859061,8338.1531231992,8192.57643410791,8560.45162071872,8926.17021011198,9315.70876944546,8717.2066670297,5773.32480768112,6927.09615976622
"IX-ET-15",14089.5769605903,14763.1374395103,14830.9449214715,14635.2424296957,14881.3251309745,7879.06353526128,14364.2051370314,8384.24560877649,5230.8159520131,13965.9748908607,15993.7174962937,16043.5908015898,15740.2867339906,9967.57095968458,10954.9514437327,16932.9934119884,17211.7668845875,18071.493008987,9674.71565605225,14342.6140297404,15956.6618003612,17921.7348961856,8358.29211912749,4553.1646455557,19268.5895932544,18438.7341722434,5444.57216042136,6618.28680691248,17091.4558314962,9524.12731126964,8976.91777899927,4805.28608969306,11757.0099913309,4482.70121134901,4963.1548335441,5202.43935930997,5351.89232958034,0,4728.38275000948,5512.1194011195,6157.66426486758,4683.68646057102,7281.73263145123,9199.62609545784,381.756953823613,4735.35879153203,2600.03182586891,11103.7427985198,8045.04796961105,8939.17389508122,10720.475664471,12396.0038174201,6785.33873322331,4027.77115108223,7737.93240998815,8013.5291190819,4947.21502460864,5281.17999971324,4108.96842995921,2534.68928517798,5316.18678804175
"IX-ET-19",16928.0470019195,17605.3790689864,17733.9208897595,17789.375886538,18137.3839759967,12067.7485289169,17699.3630302859,13059.3134371496,9521.54193283485,17821.8340622421,20031.8587965029,20118.1759036758,19923.0690448589,12675.5272521811,13448.2329231935,21645.6992052146,21924.4726778137,22784.1988022132,14351.0999770922,17196.0667261183,19559.063487185,22634.4406894118,12842.9361445032,8756.33645439921,23456.4039838847,23043.1811371302,9880.47212956832,11059.7044456555,21804.1616247225,8820.84375209101,8350.80363089969,951.650435207979,12532.1101463161,6077.42698273881,3580.90515133167,2942.76452623916,1959.32462560436,4728.38275000948,0,909.566910317466,1484.4076233904,4056.17042376013,4091.45360479236,6184.5010075113,4199.35371981327,366.483727043152,3409.01253811312,10102.1688076864,6316.31433340592,5754.06365646512,8258.26731666781,11937.4408346202,5759.719447328,6781.82608072439,6276.32139928954,6643.93386039515,7339.267905145,7728.98672603372,7160.87962455489,4216.99776520632,4988.42930116708
"IX-ET-20",16534.3887280008,17211.8827214385,17373.1075976715,17428.7830029532,17821.779563507,11852.9863676035,17383.7586177963,12856.081586132,9308.57262942814,17506.4771459723,19729.9896688323,19816.3067760053,19639.7752430663,12281.5421392182,13054.2478102306,21655.7581510671,21934.5316236662,22669.241483205,14379.0891948994,16820.0585292376,19243.4590746953,22644.4996352643,12628.1739831898,9535.51927734857,23173.110182092,22828.4189758168,10659.6549525177,11838.8872686049,21814.2205705749,8048.99118626729,7587.08233082609,1635.69839557665,11796.4907937813,5683.44186977592,2882.03785451149,2213.65880097453,1141.29367490297,5512.1194011195,909.566910317466,0,1014.6830525826,5017.79039629646,4632.49560874882,6581.26473557632,5112.82459776686,1204.42306580917,4324.483197969,9386.72067659878,5498.04202234932,4844.49674614765,7348.87389216052,11259.2648199916,5081.88073191806,7695.29695867799,7127.04965969432,7504.59857357992,8283.31404559078,8672.85260492426,8074.35050250849,5130.46864315992,5948.76210865049
"IX-ET-10",17504.7074604193,18182.201453857,18357.312928965,18412.9883342467,18805.9848948005,12859.1259718517,18367.9639490898,13862.2717210609,10316.0060656102,18490.6824772658,20714.1950001258,20800.5121072988,20623.9805743598,13251.8608716367,14024.5665426491,22661.8977553153,22940.6712279144,23675.3810874533,15385.2793298282,17804.2638605311,20227.6644059888,23650.6392395125,13634.313587438,10185.6179692573,24157.3155133855,23834.558580065,11309.7536444264,12488.9859605136,22820.3601748231,8613.68540223002,8151.77654678881,1605.33968578068,12363.3963521632,6653.76060219442,3744.14397001785,2984.79547231763,1917.3058375121,6157.66426486758,1484.4076233904,1014.6830525826,0,5174.66313461562,4065.6188403994,5996.2183975832,5809.37332593724,1557.80692543342,4897.1210037978,10030.358164667,6141.69028735316,4807.70527870528,7446.35490075795,11905.8879724008,5728.50388432726,8160.4308998105,6950.57336903134,7328.12228291693,8659.64707557916,9049.36589646788,8659.18433363583,5724.97273994538,6105.09519923843
"IX-ET-12",18771.0224446399,19444.5829235599,19512.3904055211,19316.6879137453,19562.7706150241,12111.7402672451,19045.5156851598,12514.7765448429,9911.77852110955,18542.0362957767,20175.6352566172,20201.6182794385,19870.2283664063,14611.1725414118,15387.1019427744,21004.0968519743,21282.8703245734,22145.6948702488,13801.9412064393,19024.05951379,20637.8804014116,21994.6071194572,12540.8620589313,6583.1858202189,23398.5312256702,22513.9501691369,7722.67091524746,8830.0894940506,21149.7929593437,12770.4376862069,12224.4897009774,3552.95596751032,16056.4947303735,8714.51197177609,7412.27679867372,6878.72095882112,5989.47167342311,4683.68646057102,4056.17042376013,5017.79039629646,5174.66313461562,0,3715.16497092806,5230.06015690593,4295.60376055946,3873.58712048667,2071.00068507435,14168.2909083635,10423.9842908858,9881.20077566179,12387.2117535321,15865.5087552581,9697.33163721256,3659.55655755614,3054.89645012886,3332.13591113653,3854.37426036741,4183.72923230142,4223.59880398649,2172.33769142446,972.816860870287
"IX-ET-14",20971.0644035501,21648.3964706171,21777.2406126915,21780.7435672121,22026.8496504563,15160.2563764111,21509.7855723319,15637.1156847436,12512.0087931629,21189.2191113973,23246.9854276426,23296.8587329387,22993.1568099577,16718.5446538118,17491.2503248241,24136.8768503834,24415.6503229825,25278.4748686579,16926.0984688484,21239.0841277489,23106.7074228282,25127.3871178662,15611.5600504764,10172.7872199437,26521.4596692216,25646.730167546,11312.2723149723,12424.3900154501,24284.1422215505,12679.2250389339,12217.3161834927,3232.19577049972,16428.0695088992,10120.4443843694,7485.17481738327,6845.96934980842,5773.65573687383,7281.73263145123,4091.45360479236,4632.49560874882,4065.6188403994,3715.16497092806,0,2093.28401683807,6920.98306259121,3791.76720200109,4884.8349971172,14068.008596858,10179.3407195441,8555.96113666288,11185.8036244543,15942.7923674438,9765.40827937026,7402.12840755129,3497.03507721174,3845.64171332269,7594.27436382084,7923.62933575485,7962.7139651138,5506.08919551149,4133.59989542922
"IX-ET-13",23062.0508675569,23739.3829346239,23870.5246295295,23796.3212252051,24042.4273084493,17075.8502146468,23525.363230325,17548.8222307373,14429.9022571695,23147.8823649386,25158.8351046287,25208.7084099248,24904.8633559514,18809.5311178186,19582.2367888309,26045.8729720384,26324.6464446375,27187.4709903129,18837.7451239954,23330.0705917558,25121.4980387102,27036.3832395212,17523.4097274625,11777.9059457178,28433.1662152153,27555.726289201,12917.3910407463,14024.4785997379,26193.1383432055,14608.6861967427,14146.7773413015,5325.21234264742,18359.6147497464,12211.4308483763,9454.11385843016,8794.61757234249,7722.25244627094,9199.62609545784,6184.5010075113,6581.26473557632,5996.2183975832,5230.06015690593,2093.28401683807,0,8613.02492797534,5688.71760429568,6558.54376227526,15834.9477585844,11946.2798812706,10059.4871012479,12510.1343211459,17712.1963518926,11534.8122638191,8585.64258520531,3369.62064505917,3555.92012042925,8476.02792524921,8704.86918387901,9213.7146784003,7004.26552854862,5072.2006052494
"IX-ET-6",14459.8898534783,15133.5520014663,15201.4163973377,15005.7752575954,15251.8579588743,8249.65163070069,14734.7379649312,8766.00236517323,5601.40404745251,14336.5629863001,16375.4742526904,16425.3475579865,16122.0434903873,10337.465528985,11238.0279859434,17313.8441208044,17592.6175934035,18452.343717803,10056.472412449,14713.0285916965,16327.2498958006,18302.5856050016,8740.04887552423,4675.2611582497,19650.3463496512,18819.5848810594,5708.05774546273,6886.93927367813,17472.3065403122,9633.84059170597,9086.6310594356,4476.08939178242,11968.1462072955,4644.97006467845,4965.37475491532,5161.87812008047,5303.10369783567,381.756953823613,4199.35371981327,5112.82459776686,5809.37332593724,4295.60376055946,6920.98306259121,8613.02492797534,0,4379.99143544375,2230.42969499838,11192.0725232148,8027.45771668878,8915.491231158,10702.8854115488,12487.6809613727,6841.10847077946,3905.7808063529,7370.95284039604,7647.74165990098,4795.68762387494,5131.00080623516,4072.72867549781,2255.43129738785,4980.01344349601
"IX-ET-9",17294.5307289626,17971.8627960296,18100.4046168027,18155.8596135811,18503.8677030398,12417.1897012087,18065.8467573291,13066.2894786722,9795.64233623128,18188.3177892853,20398.342523546,20484.659630719,20289.5527719021,13042.0109792243,13814.7166502366,21652.6752467372,21931.4487193363,22791.1748437358,14358.0760186148,17562.5504531615,19925.5472142282,22641.4167309344,13040.3359890232,8763.31249592176,23822.8877109278,23137.48452672,9887.44817109087,11066.6804871781,21811.137666245,9148.66869885224,8686.75984341105,538.565560983087,12892.3367766592,6443.91070978197,3941.99892325811,3302.79345568326,2274.44980999199,4735.35879153203,366.483727043152,1204.42306580917,1557.80692543342,3873.58712048667,3791.76720200109,5688.71760429568,4379.99143544375,0,3339.31407836438,10482.6071900931,6660.03533554094,6007.72394449475,8513.73492236503,12344.9056531434,6167.51478935595,6624.74317987713,5926.10037725651,6303.6492911421,7132.90208905318,7522.6209099419,7101.37740820241,4167.16581451196,4769.66904314342
