"","CH-LF-16","CH-LF-14","CH-LF-46","CH-LF-48","CH-LF-50","CH-LF-49","CH-LF-52","CH-LF-51","CH-LF-6","CH-LF-9","CH-LF-54","CH-LF-53","CH-LF-12","CH-LF-5","CH-LF-36","CH-LF-13","CH-LF-26","CH-LF-30","CH-LF-34","CH-LF-35","CH-LF-3","CH-LF-7","CH-LF-8","CH-LF-10","CH-LF-11","CH-LF-17","CH-LF-18","CH-LF-21","CH-LF-22","CH-LF-25","CH-LF-27","CH-LF-28","CH-LF-31","CH-LF-33","CH-LF-37","CH-LF-39","CH-LF-40","CH-LF-41","CH-LF-42","CH-LF-1","CH-LF-45","CH-LF-47","CH-LF-55","CH-LF-38","CH-LF-43","CH-LF-44","CH-LF-29","CH-LF-32","CH-LF-2","CH-LF-20","CH-LF-24","CH-LF-19","CH-LF-23","CH-LF-4","CH-LF-15","IX-LF-11","IX-LF-2","IX-LF-4","IX-LF-10","IX-LF-13","IX-LF-3","IX-LF-5","IX-LF-12","IX-LF-1","IX-LF-9","IX-LF-7/8","IX-LF-6","TX-LF-25","TX-LF-26/27/28/29","TX-LF-21","TX-LF-23","TX-LF-19","TX-LF-24","TX-LF-20","TX-LF-22","XO-LF-3","XO-LF-1","XO-LF-2"
"CH-LF-17",959.691675978351,5353.27501007436,6792.946627333,10556.0452924539,10042.0076914345,11313.0829846048,15387.1776634781,14149.7048319204,8455.13873153433,8129.81023626628,20602.0566296254,19917.2612478599,5953.20443020799,9645.34138809307,5810.02655607522,5429.98241255847,4673.65970353225,4694.56656637735,5468.93007723413,6076.29729309221,16246.0932527018,7286.13477749061,6704.98403797198,9308.33500995945,8644.4326632397,0,1003.40596942097,3813.96024867371,4542.9550364836,4025.14150015953,5312.09757798593,5258.70495014929,5434.98564841502,5476.35240729451,13306.1197902096,11739.5108673993,11989.8255500563,10628.2580810621,10310.2049268127,17097.6788065013,9244.10092911494,8060.27919445061,10728.9752829808,12376.9710548787,9720.49138255247,9509.64765839723,4900.834233896,4119.53778377511,14676.7751856259,2950.04480891903,2675.68286310373,2083.53469240924,2177.70460776589,13493.631893207,1198.44459912763,28707.8724858056,18337.3249473522,21893.5076305247,28405.6350261996,23409.704355259,22549.9291488138,22407.4464625211,34384.1494627456,23961.2676515404,28154.6649851273,27234.4081027507,25293.8498339106,26135.181436376,29737.2459622683,26582.3140921728,24350.3727995148,29463.4078466968,24438.8912736517,27021.457302934,26017.9433654799,23761.4553507703,24151.1335930117,24264.6008560454
"CH-LF-18",1962.98101884552,5993.94303392634,7606.19239409946,11010.1334974617,10961.590252413,12119.6226033495,16165.9874159016,14962.2915987592,8541.71053846852,7873.00641732746,21528.7703696054,20868.9728122298,6448.82369060632,9422.78917571754,4864.58393966101,5951.85858176019,5057.71828751465,4612.30257692979,4635.2943092638,5307.61723929272,16385.2273238942,7244.79633937171,6626.30847432049,8796.69372463853,8083.86961138674,1003.40596942097,0,2813.00459012571,5337.2396522897,4331.81227370419,5643.32962418339,5399.03456190884,5479.77625838822,4703.2529875068,12410.6752553868,10930.3875874747,11127.6729534195,9864.28437562194,9649.43300359825,17503.89967064,8795.1749286413,8720.222419335,11727.8100920745,11541.18051863,9097.64374328335,9024.64112950277,4960.46450815256,3367.92500846801,14960.3703167907,2019.40535565792,2305.99592737765,1120.22338217338,2325.72092828613,13675.027061692,1783.2992599907,29561.1908080753,18967.5021381603,22668.8353040039,29262.4282489479,24226.5919644083,23293.1604257761,23274.1288454911,35314.5675711908,24137.4011317434,29006.2815346609,28083.3840364102,26195.5326950994,26474.1750200146,30291.6493476076,26777.5743701143,24529.7634038411,29778.5563442826,24668.7712708985,27305.7545737414,26278.6570496516,24684.2680259841,25062.5864797634,25185.5751921962
"CH-LF-21",4773.09228514414,8060.81442053946,9968.72714037346,12446.602775892,13525.1823869636,14395.614842801,18335.2197101965,17227.6169271182,9161.42292288052,7595.7713240504,24075.1585409047,23489.2669777267,8187.16959719391,9132.923872051,2318.76849048735,7780.28627373925,6985.36727423529,5654.179898883,3155.35692617708,4014.18687741129,16867.0931950711,7630.30895727161,6976.52867207228,7659.47740538644,6834.13249470747,3813.96024867371,2813.00459012571,0,7906.58385057539,6201.52214851793,7420.81785319656,6816.0168555008,6678.61848963748,3512.02610691947,10151.8248328393,9055.97931720715,9031.28641806884,8204.93248462017,8391.5335807618,18685.6280204977,8314.93323152289,10715.6561783163,14507.0136192995,9544.26080582236,8007.09406697025,8411.83996256429,6262.23985749976,2732.94015305982,15859.5171563577,1515.94842787923,3454.79929532269,1884.80712059629,4357.87182532018,14331.5949784856,4272.84322415409,31882.7638664463,20725.3761821419,24792.5982164103,31594.4617573812,26458.6170856743,25327.0005562886,25647.0599741752,37855.9756441031,24620.7712195988,31324.0284746465,30395.4381661615,28661.6626957829,27388.2291500136,31778.2467090481,27292.975347196,25018.7428438749,30607.0513430684,25295.9480080589,28063.6835352741,26978.5267132327,27214.072761316,27558.8063581569,27709.2651087871
"CH-LF-22",3859.0785345177,7358.15757968733,7462.47861831322,12645.5730348901,9192.03370307112,11386.9719933335,15396.6415587073,13970.2009490162,11887.5113966884,12267.0060784118,19088.2937669787,18101.9670110544,8419.92561703927,13684.5678701374,10138.5960058027,7902.15711210525,2520.00011762364,4583.25009960498,8110.44457839507,8295.7867605564,19224.2501743495,11076.2570396177,10600.8067461225,13743.1062763628,13123.7441303332,4542.9550364836,5337.2396522897,7906.58385057539,0,2798.45087762301,3004.0500337548,3883.47772241899,4396.67279479898,7835.34331156466,15637.1828304001,13563.45119277,14143.604378615,12261.9818323153,11406.7347238353,19068.6315749291,9415.43885338124,9449.71437958195,8330.11815243014,14333.5580059769,10682.7807534937,9817.17077905267,4083.01860301825,6736.90706411719,17211.546621595,6558.09036436255,4883.83817289709,6027.23555790171,3673.80822237528,16419.0300170565,5140.26987113172,27772.8114013493,19172.866776004,21701.026803894,27444.5350102085,22867.6246013688,22567.1211983519,21465.4667309501,32624.8633062898,26675.6442922455,27242.1171244897,26358.2925617989,23957.0096729789,28199.1479336714,30749.5628823633,29196.4726521868,27048.196360574,31584.8846262478,26953.4445412306,29294.7605021726,28395.4347249471,22223.9127086881,22731.948871833,22738.6007559033
"CH-LF-25",3933.14152760969,8624.28671779063,9343.8807978247,14025.6824021533,11664.1639759177,13615.0918109166,17700.2054116805,16319.6844527123,12413.6430689869,12133.8804476856,21795.4683493585,20849.6340197814,9493.33328468695,13661.2021012677,8520.25440411607,8951.06819450937,783.891557597325,1785.43405209618,5594.25708802043,5645.77869330072,20124.2975545648,11302.19997482,10728.0661518066,13122.646969553,12395.7216740417,4025.14150015953,4331.81227370419,6201.52214851793,2798.45087762301,0,1311.53650552126,1407.63065938973,1804.37373436241,5248.38818057614,12885.1732264018,10773.4545538965,11378.393101541,9467.10649872837,8615.00229656962,20575.801696057,6713.25247669815,11100.7900500933,11099.8332896256,11549.3620988182,7895.16743111332,7096.9988062722,1365.45468347474,4345.4820833255,18387.9072541276,4697.76465626035,2764.92022402178,4510.27004652997,2014.07260623693,17341.2557433934,5106.86507207796,30393.4768369158,21205.9230299326,24110.2911368092,30070.0785477692,25380.3182495083,24915.2238395688,24070.3925590381,35386.4759413138,27777.027175134,29856.7606189262,28962.852791041,26647.5016821582,29694.9015492504,32759.1417963375,30368.4212745234,28161.2980015425,33056.9814470316,28182.9901792665,30674.9912641298,29712.0373291523,24943.1544203979,25433.5875826865,25457.2147873257
"CH-LF-27",5139.72361916026,9670.1056064977,10185.6989606242,15070.5652590471,12183.7661172159,14304.4280786054,18348.9437853986,16935.9785441168,13643.3039789289,13433.9291498515,22051.987615271,21028.5525409708,10597.5438814445,14956.2641195499,9734.24202485438,10056.7789397076,679.86930843373,2254.91187075127,6449.33923311962,6349.52432627541,21304.1650597565,12568.8456444538,12003.6731253421,14432.7669079638,13703.1089723924,5312.09757798593,5643.32962418339,7420.81785319656,3004.0500337548,1311.53650552126,0,1068.06512257438,1589.47106522228,6042.97139713444,13298.9709360647,11057.3730017145,11764.3191069599,9723.73694286743,8704.02369603163,21596.2286009843,6525.95217738442,12043.4865493328,11244.8606671544,11860.1354897404,7963.71866939669,6946.03091932555,1536.11679804483,5340.14813056402,19500.9384244354,5906.32729089744,3966.04397331169,5788.33266311716,3323.58720623637,18511.6408571646,6359.43908893267,30769.2583566666,22013.5213111668,24687.6115400641,30439.9359035604,25870.3544172877,25538.3061327352,24465.769056259,35520.6155814373,28920.5517076732,30239.8751580716,29357.9381909048,26928.5251899797,30728.8609013741,33586.9622054807,31496.4744628936,29302.3061416368,34100.8281903078,29294.4430537707,31745.7937841053,30800.7176990716,25176.4060804448,25697.2034775503,25691.3125398137
"CH-LF-28",5280.8872342204,10024.3340486733,10742.3906990248,15422.903053999,12967.2119643105,14981.9064071477,19056.6643754809,17664.4958568316,13705.0353141377,13270.0344807092,22971.7691702813,21978.0707248021,10876.9432072895,14815.428990558,9099.65984953489,10334.8353603276,1363.53376037176,1296.99420053688,5518.77668224998,5353.15866625098,21457.1678405539,12538.6183725535,11946.8083420767,14088.2945625774,13328.6367750361,5258.70495014929,5399.03456190884,6816.0168555008,3883.47772241899,1407.63065938973,1068.06512257438,0,531.559845791156,5086.93670571496,12232.291418363,9990.39043518399,10696.8977037926,8657.53526444317,7654.73291313624,21976.1253758381,5540.79512479477,12508.4074480162,12198.3983510261,10792.4665777205,6916.5607116763,5950.30543139918,575.967103262846,4518.01601149882,19761.5415060976,5307.0583740927,3416.88137754012,5340.00763550923,3109.52944610722,18682.9233972886,6395.03665995361,31638.3043013059,22602.88975521,25443.9372006321,31311.7699107498,26678.6091865562,26265.4828724003,25323.5383911269,36489.7178285789,29131.9821836061,31105.2384977105,30217.2040614263,27839.7188531755,31091.4902366163,34160.1965873769,31731.4424706409,29517.6364137489,34450.987553232,29554.5201704925,32061.6830241038,31092.6912153788,26106.7341455638,26615.3556370157,26621.4644545317
"CH-LF-31",5543.29632887737,10345.6621958808,11140.6551324621,15732.7908517474,13441.0658966629,15418.698598762,19501.7820331635,18117.4913713911,13889.4548008254,13346.7261806424,23482.8124713221,22496.547071531,11164.7701738878,14900.3717425671,8931.16597800977,10623.674827317,1880.81415787835,1029.6078288661,5161.75804925835,4937.80578884498,21673.4825397609,12682.4499700085,12079.4573852255,14069.9784813114,13295.8930174746,5434.98564841502,5479.77625838822,6678.61848963748,4396.67279479898,1804.37373436241,1589.47106522228,531.559845791156,0,4710.5151439588,11724.313086325,9469.14380147005,10186.456231305,8134.79665151264,7123.60772467728,22291.6714281673,5020.13259407865,12868.4342526392,12718.9937457425,10273.2800758991,6385.20364265268,5426.38103391514,534.752369579036,4256.35029301483,20027.4058815449,5187.92611394479,3367.28760332916,5310.81755863702,3258.96261472732,18910.0866610477,6599.33012142234,32134.2595666136,23002.7573599766,25904.0626711378,31808.5885969306,27155.9646487,26715.246619903,25816.7160668038,37012.0168059021,29370.2544439029,31600.1230344132,30710.3080686972,28348.0705934723,31395.567160093,34550.4484745455,31979.2819079132,29757.5029489194,34748.7003005651,29814.3694733238,32345.2062715296,31366.0587559785,26620.2462034354,27125.6650970462,27134.8978118639
"CH-LF-33",6266.11890055736,10693.1667902722,12267.18786329,15562.1058974145,15448.0222953528,16787.4843794634,20853.0659182723,19625.493452933,12574.074273822,11107.6765805637,25966.3974726116,25200.6905378529,11081.1814732893,12642.3121930933,5129.61325855569,10605.9984569618,5915.86591101253,3800.23123829511,511.567135935403,604.364764320406,20341.9372960271,11079.6009634581,10424.7351190857,11025.9650224485,10181.2500308907,5476.35240729451,4703.2529875068,3512.02610691947,7835.34331156466,5248.38818057614,6042.97139713444,5086.93670571496,4710.5151439588,0,7978.24037739106,6265.98756006872,6580.08457514517,5162.64476932298,5027.46626628253,21953.5477222072,4826.61747926829,13419.3199294871,15698.7025599722,6922.62245524313,4560.9558204027,4903.79307680778,4532.50407143847,1357.45087653586,19228.8615382245,2827.07913815675,3153.7281700138,3679.55264652462,4383.2537266792,17764.3770045893,6484.02233786834,34173.7771571977,23646.1336652822,27358.6370145652,33869.4087355175,28886.0525208366,27994.073366875,27865.4948027618,39723.3435117276,28105.0955184904,33621.6385546151,32702.9269167222,30706.9496136774,30774.4344065395,34901.1548474627,30774.4392914664,28502.5551872117,34022.3672469672,28755.6066654022,31495.901658933,30423.9249020132,29131.4993366006,29546.6275112666,29638.6248023551
"CH-LF-37",14167.3361215014,18190.6305521347,19993.292263726,22466.2378524622,23347.0245690665,24481.6318781687,28467.5669532365,27323.3910685577,18764.1314071675,16480.0225622256,33898.8280585855,33165.4283857359,18334.6064459927,17750.0775938749,9948.35367387086,17932.1092719519,13403.0721020527,11156.712962377,7871.59747975558,7433.22295910282,25892.7319424436,17173.4563155237,16562.2509786646,15207.6534076452,14426.7260542839,13306.1197902096,12410.6752553868,10151.8248328393,15637.1828304001,12885.1732264018,13298.9709360647,12232.291418363,11724.313086325,7978.24037739106,0,2501.83747879592,1547.24139613121,3767.73367650396,5190.28428859608,28434.0519792747,7774.12795740825,20864.7752533965,23670.1996201341,1718.50237854227,5848.66906290397,7364.87066963064,11802.3854345092,9291.63183872331,25406.5455533645,10391.6914511125,11131.5894898891,11296.1462749248,12351.485516367,23680.223140189,14160.3149569669,41956.6840214952,30824.3148017224,34938.7037710954,41661.1729809678,36576.826522899,35478.6731000074,35680.8869783074,47672.0450158434,33388.182224199,41400.2873827027,40475.0234570941,38599.3454669904,36714.8587679439,41672.7016009121,36047.4063708276,33784.7305793014,39774.5462330163,34265.4558123298,37169.3808087524,36020.0446003111,37061.0568553002,37456.7550591453,37565.5958596051
