"","CH-MF-1","CH-MF-9","CH-MF-11","CH-MF-2","CH-MF-8","CH-MF-15","CH-MF-6/7","CH-MF-3","CH-MF-10","CH-MF-12","CH-MF-13","CH-MF-14","CH-MF-4","CH-MF-5","IX-MF-1","IX-MF-2","IX-MF-3","IX-MF-4","TX-MF-15","TX-MF-14","TX-MF-13","TX-MF-19","TX-MF-18","TX-MF-16/17","XO-MF-1"
"CH-MF-13",21256.4625209689,9399.26982476477,8262.08281686262,20848.8689660275,15662.4579003281,7465.87079463732,18407.7029255504,17074.7683818921,10534.5350629783,3754.70272091407,0,4615.98462842392,16615.130317599,17545.7553654168,13909.0932843735,12024.2330242741,17767.7255016572,13496.0836277825,24450.459718726,21242.700480096,24040.6055586313,27083.5627502114,25419.3205055131,25645.3321852687,12286.3029157462
"CH-MF-14",21149.9528482453,12277.7080784996,7965.31715771376,20888.1040623994,17895.6033661892,3037.91765794296,20673.7656219505,16668.8422952764,12814.1370413932,6101.10845260526,4615.98462842392,0,17082.4789472865,18524.0135493324,12662.615123176,8087.7867031748,13484.2339730284,9036.59092401965,22852.7875159527,18362.2079726247,21024.2593663594,25968.1685762844,24585.8779717281,24378.8805166764,7744.83778510699
"CH-MF-4",4977.56092945661,9738.79693565192,9118.0641096537,4408.92736334074,6734.08490647711,16694.2167730261,7892.72619581236,3189.86922738804,7793.86951911224,12879.4970016482,16615.130317599,17082.4789472865,0,2290.40997475768,6638.73311570689,15420.37138862,19500.1827535225,18648.7297433266,11308.4068631326,14117.3148695745,16433.8329602135,12146.8749200664,10041.1385206609,11285.8644559404,18826.8229351302
"CH-MF-5",5611.1673983771,9658.77685799189,10644.4951742511,4889.55986909102,5202.38589282759,18418.5817925608,5799.38377478007,5370.61153624018,7776.00281670244,13793.8000353189,17545.7553654168,18524.0135493324,2290.40997475768,0,8873.74553290555,17512.4778525942,21750.816286746,20746.4206428996,12860.5141510885,16316.6125934759,18553.188659282,13088.3567435803,10889.7175165174,12490.4371349065,20848.4756535272
"IX-MF-1",9022.51064790877,11211.6189165169,5725.48630647815,8970.3060273641,11865.98817993,11358.0146630249,13866.3908655135,4564.4781482142,9720.29827769154,10742.9765177634,13909.0932843735,12662.615123176,6638.73311570689,8873.74553290555,0,8995.66461262088,12878.4411487672,12178.6700710213,10541.9274929514,9196.80413425083,11962.5881474867,13346.1680497843,11924.9499418106,11814.7945675812,12532.6402732726
"IX-MF-2",17891.5997707921,15657.9377612235,8478.98681401773,17912.3160741049,19174.2069643736,5176.41215501716,21660.4110999459,13542.2624868818,15135.5020353639,11163.9938429932,12024.2330242741,8087.7867031748,15420.37138862,17512.4778525942,8995.66461262088,0,5960.09198963987,3234.0407194478,16976.6463589944,10931.5296345087,13354.3973292595,20644.4738969272,19796.084638298,18915.7676611071,3601.95210788426
"IX-MF-3",20755.2699300039,21407.8750926994,14121.5883350607,20972.6499913239,24264.3983280084,10446.6406978328,26546.3962156949,16970.8510595399,20694.765469292,17123.7346173482,17767.7255016572,13484.2339730284,19500.1827535225,21750.816286746,12878.4411487672,5960.09198963987,0,4642.94733904656,17503.1716726329,9845.10462328681,11209.4942139562,21466.0667947046,21223.5152001886,19728.9472932567,6140.96675701687
"IX-MF-4",20980.8193868214,18460.2593064991,11469.4282500581,21035.9553474941,22314.0578777522,6039.3437429982,24838.2919888558,16698.8803381377,18101.9673574524,13419.7289552145,13496.0836277825,9036.59092401965,18648.7297433266,20746.4206428996,12178.6700710213,3234.0407194478,4642.94733904656,0,19425.1293575655,12607.5718365608,14632.2608429115,23230.2338052078,22557.7527075583,21482.5348836007,1509.38151390634
"TX-MF-15",7763.26608707156,20345.2896508666,16243.4347080616,8470.93476889345,17962.218584788,20988.5561253752,18518.0576786423,8629.46133194399,18489.2500178143,21223.7761817929,24450.459718726,22852.7875159527,11308.4068631326,12860.5141510885,10541.9274929514,16976.6463589944,17503.1716726329,19425.1293575655,0,7905.46321544043,8302.34275911516,3977.20733707914,4388.19573837504,2287.78697632168,20407.9391866787
"TX-MF-14",13167.2878419685,20388.2090669321,14068.7659866626,13637.0518288476,20491.2226221211,15829.3174031591,22003.8239203399,10948.6466080683,18914.9444445509,18864.7755884975,21242.700480096,18362.2079726247,14117.3148695745,16316.6125934759,9196.80413425083,10931.5296345087,9845.10462328681,12607.5718365608,7905.46321544043,0,2855.84985498621,11871.3000802671,12027.312850421,10189.9164867396,13852.1831485963
"TX-MF-13",14814.8265843593,23172.8559584603,16923.9994780807,15371.6343381523,22969.3967369297,18391.1312000207,24316.9152143331,13244.0962047674,21657.1013043872,21714.6259860322,24040.6055586313,21024.2593663594,16433.8329602135,18553.188659282,11962.5881474867,13354.3973292595,11209.4942139562,14632.2608429115,8302.34275911516,2855.84985498621,0,12016.4621831817,12680.2498260652,10515.187017991,15982.4385217314
"TX-MF-19",7479.39530123459,21792.0540918539,18824.3165197332,8211.15852327406,18280.5809217148,24348.114382291,18232.4263147058,10254.3872247735,19860.6009414754,23638.0808923647,27083.5627502114,25968.1685762844,12146.8749200664,13088.3567435803,13346.1680497843,20644.4738969272,21466.0667947046,23230.2338052078,3977.20733707914,11871.3000802671,12016.4621831817,0,2219.75229470083,1752.01851710368,24144.9629610475
"TX-MF-18",5278.66156289614,19742.798960299,17194.2581757296,6004.34432411599,16074.6890724919,23159.844896946,16015.5539175994,8403.73586560034,17803.309760868,21892.9224393349,25419.3205055131,24585.8779717281,10041.1385206609,10889.7175165174,11924.9499418106,19796.084638298,21223.5152001886,22557.7527075583,4388.19573837504,12027.312850421,12680.2498260652,2219.75229470083,0,2408.63600570569,23360.923667784
"TX-MF-16/17",6992.86288700361,20763.2142877256,17384.8330660712,7737.05691570328,17687.269436031,22690.3986371924,17899.8513641602,9068.53256658053,18852.6445352558,22266.413528923,25645.3321852687,24378.8805166764,11285.8644559404,12490.4371349065,11814.7945675812,18915.7676611071,19728.9472932567,21482.5348836007,2287.78697632168,10189.9164867396,10515.187017991,1752.01851710368,2408.63600570569,0,22406.1301921519
"XO-MF-1",21476.6586104842,17851.5502372362,11104.5187854171,21481.5624657237,22064.3470196075,4833.46229579963,24658.1196417157,17093.8004912516,17644.0832496198,12520.4849007321,12286.3029157462,7744.83778510699,18826.8229351302,20848.4756535272,12532.6402732726,3601.95210788426,6140.96675701687,1509.38151390634,20407.9391866787,13852.1831485963,15982.4385217314,24144.9629610475,23360.923667784,22406.1301921519,0
