"","CH-TF_CL-8","CH-TF_CL-5","CH-TF_CL-7","CH-TF_CL-18","CH-TF_CL-17","CH-TF_CL-19","CH-TF_CL-3/4","CH-TF_CL-20","CH-TF_CL-22","CH-TF_CL-21","CH-TF_CL-1","CH-TF_CL-2","CH-TF_CL-6","CH-TF_CL-10/11","CH-TF_CL-12","CH-TF_CL-13","CH-TF_CL-16","CH-TF_CL-14","CH-TF_CL-15","CH-TF_CL-9","IX-TF_CL-3","IX-TF_CL-2","IX-TF_CL-1","TX-TF_CL-2","TX-TF_CL-1"
"CH-TF_CL-1",10565.342301107,8255.19643341842,5404.26615065074,11321.1155833969,8462.22675781706,7751.1197354519,8446.32727280889,16342.902231779,15711.159113957,16470.1194653389,0,6556.40925487657,7018.34062353982,20531.4125693309,18228.5945655119,19305.6738369725,21738.1794697764,18139.8381275442,17999.1941067441,17712.2905366086,24307.7683106892,6238.28742060888,17800.2871013301,9959.95953902089,12433.4662281985
"CH-TF_CL-2",11503.1286957568,7389.60486563718,6994.87072255346,14070.33204229,11942.4917486678,13119.0035712,5728.32268927953,20650.7287667765,21156.0443813148,21167.8258883974,6556.40925487657,0,5864.82243033569,19900.0704334188,17326.451224478,18162.4253204599,19206.7411823895,16000.7066899426,15669.4859855404,16031.3883243201,30793.23829243,12792.4609199972,24348.6181436222,13702.0970659932,15397.4274450565
"CH-TF_CL-6",5660.84442520334,1584.83912362465,2660.97357373868,8597.16276645922,7094.89134266298,9679.47046136993,1823.37036249892,15647.1957982242,17085.7782593931,16414.6835140704,7018.34062353982,5864.82243033569,0,14419.893978019,11920.4388057722,12881.7698257718,14820.0072215162,11285.7018349687,11091.7714017873,11011.4687976898,28422.5045728397,11858.70787672,22618.947837023,16763.5415667417,19029.4653536419
"CH-TF_CL-10/11",10065.1959920954,12847.840898603,15148.9674840575,11353.651232123,13796.2434242345,17628.0788481925,14171.9772688101,15375.6182457213,19819.4611467433,16914.6459838859,20531.4125693309,19900.0704334188,14419.893978019,0,2597.48816489099,2146.83163692144,6080.26125412037,5411.31370858987,5985.6068131337,4532.74212828689,33219.9626564172,22723.0003844285,29716.2923460513,30458.4981330367,32964.2659591657
"CH-TF_CL-12",7969.52534278668,10363.1208535053,12825.1992257941,9922.54810574933,12039.7719846577,15992.2181769525,11598.6812787748,15032.6074062204,19159.5288465228,16521.0640961495,18228.5945655119,17326.451224478,11920.4388057722,2597.48816489099,0,1185.73036938218,5619.14804555406,3452.22636822942,4000.64578635067,2290.5057759183,32537.9327177327,20844.5240824768,28580.0546794521,28184.1688781896,30641.4372984418
"CH-TF_CL-13",9126.86078110318,11344.3740745187,13901.8931824948,11098.6012906771,13224.0002571468,17177.9239847336,12448.5415001285,16046.1262933278,20247.4332077249,17549.6789660832,19305.6738369725,18162.4253204599,12881.7698257718,2146.83163692144,1185.73036938218,0,4662.42114277516,3273.50933888662,3848.8300915223,2410.31054416735,33639.5295417285,22017.0982489967,29742.9116932746,29265.273276516,31700.4702121014
"CH-TF_CL-16",12545.3044695235,13483.5344119127,16485.050770531,15209.4117908089,16932.149536982,20935.8673673849,13844.4855122606,20651.7539897351,24732.7297848034,22138.5154000755,21738.1794697764,19206.7411823895,14820.0072215162,6080.26125412037,5619.14804555406,4662.42114277516,0,3650.04345670767,3738.98549544727,4449.72571059847,38078.7025944879,25341.4995828997,33886.8654171449,31582.6310221036,33826.837479785
"CH-TF_CL-14",8963.12075189322,9896.71109476417,12852.6201064522,11864.0773958484,13385.1643634325,17382.2921503389,10454.1680976183,17848.0757025006,21650.1813319313,19274.1039223098,18139.8381275442,16000.7066899426,11285.7018349687,5411.31370858987,3452.22636822942,3273.50933888662,3650.04345670767,0,575.406365546336,1254.33788042463,34886.2513731692,21700.0755560002,30457.0906516016,28024.4214386116,30315.1310521082
"CH-TF_CL-15",9067.6659297227,9744.6224251389,12757.0071393424,12095.3575951504,13506.0920722904,17491.9780305977,10181.8456903051,18215.5175294938,21947.2046547817,19626.5334083842,17999.1941067441,15669.4859855404,11091.7714017873,5985.6068131337,4000.64578635067,3848.8300915223,3738.98549544727,575.406365546336,0,1749.23170495321,35142.0043188381,21705.7342390836,30627.3739341454,27850.6510991626,30111.9017359712
"CH-TF_CL-9",8116.25293585732,9543.04396831704,12354.2736873176,10804.9321980482,12484.9787881105,16488.8184610042,10372.1371706525,16634.8390162384,20499.0695144421,18072.1150101607,17712.2905366086,16031.3883243201,11011.4687976898,4532.74212828689,2290.5057759183,2410.31054416735,4449.72571059847,1254.33788042463,1749.23170495321,0,33775.4821655485,20975.7126910506,29457.8162689497,27647.9225482678,30001.2702617852
"IX-TF_CL-3",26463.3449201204,28446.6592790758,25771.5078595366,23056.330011651,22232.287961699,18783.837822278,30238.6234158702,17951.9646081023,13407.7879264019,16402.135594314,24307.7683106892,30793.23829243,28422.5045728397,33219.9626564172,32537.9327177327,33639.5295417285,38078.7025944879,34886.2513731692,35142.0043188381,33775.4821655485,0,18138.4896094637,6882.52135472844,24462.0462304188,26416.4932042874
"IX-TF_CL-2",12917.9128172506,12551.0220766262,9373.41530943425,11678.5394834346,8947.4516353627,5540.42669773605,13604.8856533729,13746.0130152441,11447.726685827,13300.6426108823,6238.28742060888,12792.4609199972,11858.70787672,22723.0003844285,20844.5240824768,22017.0982489967,25341.4995828997,21700.0755560002,21705.7342390836,20975.7126910506,18138.4896094637,0,11564.0511435386,9957.53386623331,12711.2093488744
"IX-TF_CL-1",21618.2269688841,22883.7302923316,19964.0651871887,18690.0713831617,17192.3639675341,13343.4570767776,24439.8570163451,15497.2566732392,10735.3545061003,14095.6996264269,17800.2871013301,24348.6181436222,22618.947837023,29716.2923460513,28580.0546794521,29742.9116932746,33886.8654171449,30457.0906516016,30627.3739341454,29457.8162689497,6882.52135472844,11564.0511435386,0,17659.3522889649,19730.6287460206
"TX-TF_CL-2",20428.1665169674,18131.0658326802,15363.3898536753,20518.9343725745,17573.0674171685,15128.9841316725,17902.2046891653,23681.4629844553,21238.8874442881,23256.7422209119,9959.95953902089,13702.0970659932,16763.5415667417,30458.4981330367,28184.1688781896,29265.273276516,31582.6310221036,28024.4214386116,27850.6510991626,27647.9225482678,24462.0462304188,9957.53386623331,17659.3522889649,0,2767.52099707126
"TX-TF_CL-1",22979.0754724603,20458.8456188397,17822.5601662658,23217.9604846941,20269.7294709971,17893.6915258431,20033.5480832112,26444.1637637991,23932.0272364421,26004.6672218452,12433.4662281985,15397.4274450565,19029.4653536419,32964.2659591657,30641.4372984418,31700.4702121014,33826.837479785,30315.1310521082,30111.9017359712,30001.2702617852,26416.4932042874,12711.2093488744,19730.6287460206,2767.52099707126,0
